SnapshotRelPath	SourceSnapshotID	OriginalCommit	OriginalRepoPath	SizeBytes	SHA256	Role	GitBlobIntegrity
CMakeLists.txt	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/CMakeLists.txt	5029	22125086e817a734745f05fd4b7f4ffcd09a1829df0718b1291e5286af3007af	cmake	MATCH
experiments/run_ablation.cu	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/experiments/run_ablation.cu	4418	0be03c59c4cb6436d915d4a368179ab2af3d88343338086114e1cb5525eb877c	experiment_entrypoint	MATCH
experiments/run_benchmark.cu	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/experiments/run_benchmark.cu	3190	bc749526bf825f83218194000a8878724c37b35bdd465ff90ca0413b577e337b	experiment_entrypoint	MATCH
experiments/run_pathmerge_sweep.cu	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/experiments/run_pathmerge_sweep.cu	3499	d0618e8210a1de0fe3a7e559d5b0992bde0f269795291bd57d589e8a49b6a7ad	experiment_entrypoint	MATCH
include/baseline/baseline_graph.h	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/include/baseline/baseline_graph.h	1230	678990560a7c11a51526f3025827771bc0c6a5d0089a1b2bd6be4fe27674f58b	header	MATCH
include/baseline/baseline_utils.h	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/include/baseline/baseline_utils.h	1380	82da1a1345a70a299c2c092005fabaac1d86f8b7376fd5a02be63adb11414965	header	MATCH
include/baseline/brandes_baseline.hpp	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/include/baseline/brandes_baseline.hpp	994	407870f2fdc89b6528bd99cb5d642732bf5d18fc586a0166960af094be92b674	header	MATCH
include/baseline/galliot.h	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/include/baseline/galliot.h	1398	3bc692a1891e8fe5b2ef834ca31b6bdd76c76a6708ea849de7767962ec8cf451	header	MATCH
include/baseline/galliot_kernels.cuh	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/include/baseline/galliot_kernels.cuh	2041	67334eb0624a7009f3d7ac2e945853c5a8e3c16f5d5d455c57b7be598eab1c12	header	MATCH
include/core/common.hpp	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/include/core/common.hpp	833	2578acc9f4161f059ef5e6da66cf95fa6472d7d859814980b31cb2e03fa24e9c	header	MATCH
include/core/graph.hpp	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/include/core/graph.hpp	565	b3d9b9abcb71ec267049f4a069cf2921d4176aec030fdf972440ca55f41eb63d	header	MATCH
include/core/runner.hpp	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/include/core/runner.hpp	1680	7d7a70c5040e03339259058bf5fa246663b2996250eb513300b947c849f3e782	header	MATCH
include/proposed/ablation_config.hpp	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/include/proposed/ablation_config.hpp	1695	69611f82a9c0427366b6c83128b8da3df6d20ad845fdde766a5c057296ac2a30	header	MATCH
include/proposed/brandes_gpu.hpp	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/include/proposed/brandes_gpu.hpp	780	6eee9603c7eb53c1f1ee860417e3ebd6d9992d0ca2281176bd08960dbd4099b8	header	MATCH
include/proposed/brandes_kernels.cuh	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/include/proposed/brandes_kernels.cuh	19279	c02b0ae266ccd51101222b7d744e24538fd88060cd1079e557b7a8944cba9f29	header	MATCH
scripts/build_cugraph_bc_mini.sh	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/scripts/build_cugraph_bc_mini.sh	5333	2fd06c899732cfa7756b907ff05af69b929d1d382d42fbff1f4cf3f5c54ebad1	build_script	MATCH
scripts/build_miyabi_interactive.sh	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/scripts/build_miyabi_interactive.sh	4715	f9dfd636a520b97da61d54e55c1a9081d6dbf9cb8693f315e8ff49ec29af139d	build_script	MATCH
scripts/merge_final_tables.py	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/scripts/merge_final_tables.py	9048	697af4105532e579bda896040d28b235b343787d5b06671603a450772eb69807	analysis_script	MATCH
scripts/run_ablation.sh	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/scripts/run_ablation.sh	4564	10faffd10106f4aa03b9afeaab0614a1623659374efe978d92a9c4e01bfb840b	run_script	MATCH
scripts/run_benchmark_targeted.sh	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/scripts/run_benchmark_targeted.sh	8053	71e966af40ecf5737bb0f78381091cf851d80725cde7164b84c0c72054ddc461	run_script	MATCH
scripts/run_kernel_selection.sh	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/scripts/run_kernel_selection.sh	7086	690014e507d0568835cb16f14d826cf9a384d568dfa8ad1657260e5a254813c1	run_script	MATCH
scripts/run_pathmerge_correctness.sh	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/scripts/run_pathmerge_correctness.sh	5254	fbabc8e1cea984122ede4209f456bdd36ff98e9da7d4c1ff00de6c678cb94d3d	run_script	MATCH
scripts/run_pathmerge_sweep.sh	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/scripts/run_pathmerge_sweep.sh	6521	b13e390fe54e434a3814f44ec69ce5c22f97588b4db4346bcb7f2760147e18de	run_script	MATCH
scripts/run_profiling.sh	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/scripts/run_profiling.sh	3899	e8e04033175e9f0b9b01dfe0f241116ed10bcdef6df333fcfeac585eef8cc9e6	run_script	MATCH
scripts/statistical_analysis.py	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/scripts/statistical_analysis.py	9196	d40ef73bc9ea70aa950d8a007fe07b57e79865d57215c68c318fe6719fc44431	analysis_script	MATCH
scripts/summarize_ablation.py	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/scripts/summarize_ablation.py	18035	ceacfaa4d65356010d266a4b45556db340e5b8dab308392bd3bb139f629c4a2a	analysis_script	MATCH
scripts/summarize_benchmark.py	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/scripts/summarize_benchmark.py	20018	37ae68c06545500e49e304176c92634298f0c099d0ac427819b68d8c4831b110	analysis_script	MATCH
scripts/summarize_kernel_selection.py	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/scripts/summarize_kernel_selection.py	11224	53dc9876c7b5365897d401dd460cbaafc838cd6c05921f8bc583374271e2bfd5	analysis_script	MATCH
src/baseline/cugraph_bc.cu	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/src/baseline/cugraph_bc.cu	5187	5b359c9dc35ba96b7902a09b7ca09fd143c044450b11ef748fa69d43ab3fe1d0	source	MATCH
src/baseline/galliot.cu	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/src/baseline/galliot.cu	7661	40741c2af143e923c35bec5a440127a6aff910f288b19d4b4ba3f7b6b948fc77	source	MATCH
src/baseline/galliot_kernels.cu	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/src/baseline/galliot_kernels.cu	4017	cbd851cc9be636ffa7313011b3ca015ad66a7d868ffb824ef4d9a7301b15ff3c	source	MATCH
src/baseline/gpu_unopt.cu	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/src/baseline/gpu_unopt.cu	12897	a584422677f1698c0b7af5c043a3868a21cff46356083bfcae595328394eb77d	source	MATCH
src/baseline/omp.cpp	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/src/baseline/omp.cpp	2520	bd6a0a3093f5aad5da3f69cb551f6132d5e1ef003fac233ec905accab5232ce0	source	MATCH
src/baseline/pathmerge.cu	phase_def_block_20260710	88faffa391026852a4440e5b9a063c08c29624f7	thesis_bc_project/src/baseline/pathmerge.cu	8166	016744c87ca97386f12a7017af77aac64e0d5ef76ee8c979fe13121b032ff47e	source	MATCH
