graph	category	n	m	avg_deg	max_deg	p99_deg	cv_deg	bfs_depth_med
email-EuAll	実データ(ハブ有)	265009	364481	2.751	7636	13.0	13.934	10
roadNet-PA	道路網	1088092	1541898	2.834	9	4.0	0.359	674
roadNet-TX	道路網	1379917	1921660	2.785	12	4.0	0.361	798
roadNet-CA	道路網	1965206	2766607	2.816	12	4.0	0.353	608
benchmark_85830	合成ベンチ	85830	241080	5.618	2207	37.0	1.831	14
benchmark_7000	合成ベンチ	7000	41459	11.845	589	62.0	1.372	5
benchmark_11023	合成ベンチ	11023	62184	11.283	2109	24.0	4.599	8
56438_300801	合成ベンチ	56438	300801	10.660	604	96.0	2.010	8
325557_3216152	合成ベンチ	325557	3216152	19.758	18280	112.0	11.153	27
chain_200	合成(鎖状)	200	199	1.990	2	2.0	0.050	171
random	合成(ランダム)	32212	101805	6.321	22	11.0	0.186	12
