ValueID	Chapter	TableOrFigure	Graph	Implementation	Metric	Value	Unit	Aggregation	Trials	Batch	SourceFile	SourceRow	Notes
PERF-EMAIL-PROP-MED	6	T-PERF	email-EuAll	GPU_Opt	time	30.81	sec	median	5	b512	raw_data/main_performance/proposed_variants/email-EuAll/_run/job_2357334_20260711/results.tsv	GPU_Opt trials1-5	in-capacity req/eff/SUB=512
PERF-EMAIL-PROP-MEAN	6	T-PERF	email-EuAll	GPU_Opt	time	30.81	sec	mean	5	b512	raw_data/main_performance/proposed_variants/email-EuAll/_run/job_2357334_20260711/results.tsv	GPU_Opt trials1-5	mean=30.8114
PERF-EMAIL-PROP-SD	6	T-PERF	email-EuAll	GPU_Opt	time	0.061	sec	sample_sd	5	b512	raw_data/main_performance/proposed_variants/email-EuAll/_run/job_2357334_20260711/results.tsv	GPU_Opt trials1-5	ddof=1
PERF-EMAIL-PROP-GTEPS	6	T-PERF	email-EuAll	GPU_Opt	gteps	3.14	GTEPS	median	5	b512	raw_data/main_performance/proposed_variants/email-EuAll/_run/job_2357334_20260711/results.tsv	GPU_Opt GTEPS col	median of GTEPS column=3.1351
PERF-EMAIL-PM-MED	6	T-PERF	email-EuAll	PathMerge_tuned	time	97.80	sec	median	3	b2048	raw_data/tuning/pathmerge/email-EuAll/pathmerge_bc/job_multi_20260710/pathmerge_sweep_results.tsv	PathMerge_b2048 t1-3	tuned=掃引最良
PERF-EMAIL-PM-SD	6	T-PERF	email-EuAll	PathMerge_tuned	time	0.988	sec	sample_sd	3	b2048	raw_data/tuning/pathmerge/email-EuAll/pathmerge_bc/job_multi_20260710/pathmerge_sweep_results.tsv	PathMerge_b2048 t1-3	mean=97.8956
PERF-EMAIL-SPEEDUP	6	T-PERF	email-EuAll	GPU_Opt_vs_PathMerge_tuned	speedup	3.17	x	median/median	NA	b512/b2048	result/main_performance/proposed_vs_pathmerge/comparison.tsv	email-EuAll	97.80/30.81=3.1743
PERF-EMAIL-PM-DEFAULT	6	T-PERF	email-EuAll	PathMerge_default	time	220.39	sec	median	5	b64	raw_data/main_performance/seven_implementations/legacy_partial/medium/no_gpu_opt/job_notrecorded_legacy/results_no_gpu_opt.tsv	PathMerge_BC email-EuAll	vs既定=7.15x(区別用)
PERF-PA-PROP-MED	6	T-PERF	roadNet-PA	GPU_Opt	time	699.52	sec	median	3	b512	raw_data/main_performance/proposed_variants/roadNet-PA/_run/job_2357334_20260711/results.tsv	GPU_Opt t1-3	in-capacity req/eff/SUB=512
PERF-PA-PROP-SD	6	T-PERF	roadNet-PA	GPU_Opt	time	1.695	sec	sample_sd	3	b512	raw_data/main_performance/proposed_variants/roadNet-PA/_run/job_2357334_20260711/results.tsv	GPU_Opt t1-3	mean=700.489
PERF-PA-PROP-GTEPS	6	T-PERF	roadNet-PA	GPU_Opt	gteps	2.40	GTEPS	median	3	b512	raw_data/main_performance/proposed_variants/roadNet-PA/_run/job_2357334_20260711/results.tsv	GPU_Opt GTEPS col	median=2.3984
PERF-PA-PM-MED	6	T-PERF	roadNet-PA	PathMerge_tuned	time	918.67	sec	median	3	b64	raw_data/main_performance/seven_implementations/legacy_partial/large/no_gpu_opt/job_notrecorded_legacy/results_no_gpu_opt.tsv	PathMerge_BC roadNet-PA	tuned=既定b64同一設定(legacy採用)
PERF-PA-PM-SD	6	T-PERF	roadNet-PA	PathMerge_tuned	time	9.593	sec	sample_sd	3	b64	raw_data/main_performance/seven_implementations/legacy_partial/large/no_gpu_opt/job_notrecorded_legacy/results_no_gpu_opt.tsv	PathMerge_BC roadNet-PA	mean=923.257
PERF-PA-SPEEDUP	6	T-PERF	roadNet-PA	GPU_Opt_vs_PathMerge_tuned	speedup	1.31	x	median/median	NA	b512/b64	result/main_performance/proposed_vs_pathmerge/comparison.tsv	roadNet-PA	918.67/699.52=1.3133
PERF-TX-PROP-MED	6	T-PERF	roadNet-TX	GPU_Opt	time	980.13	sec	median	3	b512	raw_data/main_performance/proposed_variants/roadNet-TX/_run/job_2357334_20260711/results.tsv	GPU_Opt t1-3	in-capacity req/eff/SUB=512
PERF-TX-PROP-SD	6	T-PERF	roadNet-TX	GPU_Opt	time	6.352	sec	sample_sd	3	b512	raw_data/main_performance/proposed_variants/roadNet-TX/_run/job_2357334_20260711/results.tsv	GPU_Opt t1-3	mean=983.656
PERF-TX-PROP-GTEPS	6	T-PERF	roadNet-TX	GPU_Opt	gteps	2.71	GTEPS	median	3	b512	raw_data/main_performance/proposed_variants/roadNet-TX/_run/job_2357334_20260711/results.tsv	GPU_Opt GTEPS col	median=2.7055
PERF-TX-PM-MED	6	T-PERF	roadNet-TX	PathMerge_tuned	time	1482.68	sec	median	3	b64	raw_data/main_performance/seven_implementations/legacy_partial/large/no_gpu_opt/job_notrecorded_legacy/results_no_gpu_opt.tsv	PathMerge_BC roadNet-TX	tuned=既定b64同一設定
PERF-TX-PM-SD	6	T-PERF	roadNet-TX	PathMerge_tuned	time	24.855	sec	sample_sd	3	b64	raw_data/main_performance/seven_implementations/legacy_partial/large/no_gpu_opt/job_notrecorded_legacy/results_no_gpu_opt.tsv	PathMerge_BC roadNet-TX	mean=1493.459
PERF-TX-SPEEDUP	6	T-PERF	roadNet-TX	GPU_Opt_vs_PathMerge_tuned	speedup	1.51	x	median/median	NA	b512/b64	result/main_performance/proposed_vs_pathmerge/comparison.tsv	roadNet-TX	1482.68/980.13=1.5127
PERF-CA-PROP-MED	6	T-PERF	roadNet-CA	GPU_Opt	time	2129.10	sec	median	3	b512	raw_data/main_performance/proposed_variants/roadNet-CA/_run/job_2357334_20260711/results.tsv	GPU_Opt t1-3	in-capacity req/eff/SUB=512
PERF-CA-PROP-SD	6	T-PERF	roadNet-CA	GPU_Opt	time	4.021	sec	sample_sd	3	b512	raw_data/main_performance/proposed_variants/roadNet-CA/_run/job_2357334_20260711/results.tsv	GPU_Opt t1-3	mean=2127.377
PERF-CA-PROP-GTEPS	6	T-PERF	roadNet-CA	GPU_Opt	gteps	2.55	GTEPS	median	3	b512	raw_data/main_performance/proposed_variants/roadNet-CA/_run/job_2357334_20260711/results.tsv	GPU_Opt GTEPS col	median=2.5536
PERF-CA-PM-MED	6	T-PERF	roadNet-CA	PathMerge_tuned	time	3079.72	sec	median	3	b32	raw_data/tuning/pathmerge/roadNet-CA/pathmerge_bc/job_multi_20260710/pathmerge_sweep_results.tsv	PathMerge_b32 t1-3	tuned=掃引最良b32
PERF-CA-PM-SD	6	T-PERF	roadNet-CA	PathMerge_tuned	time	25.511	sec	sample_sd	3	b32	raw_data/tuning/pathmerge/roadNet-CA/pathmerge_bc/job_multi_20260710/pathmerge_sweep_results.tsv	PathMerge_b32 t1-3	mean=3083.851
PERF-CA-SPEEDUP	6	T-PERF	roadNet-CA	GPU_Opt_vs_PathMerge_tuned	speedup	1.45	x	median/median	NA	b512/b32	result/main_performance/proposed_vs_pathmerge/comparison.tsv	roadNet-CA	3079.72/2129.10=1.4465
PERF-CA-PM-DEFAULT	6	T-PERF	roadNet-CA	PathMerge_default	time	3499.03	sec	median	3	b64	raw_data/main_performance/seven_implementations/legacy_partial/large/no_gpu_opt/job_notrecorded_legacy/results_no_gpu_opt.tsv	PathMerge_BC roadNet-CA	vs既定=1.64x(区別用)
ABL-H-SYNTH	7	T-ABL	synthetic4	Ablation_H	main_effect	1.655	x	geomean	5	b512	result/ablation/synthetic_2354994/ablation_contributions.tsv	MainEffect H	4グラフ幾何平均
ABL-W-SYNTH	7	T-ABL	synthetic4	Ablation_W	main_effect	1.065	x	geomean	5	b512	result/ablation/synthetic_2354994/ablation_contributions.tsv	MainEffect W	グラフ依存(0.992-1.175)
ABL-A-SYNTH	7	T-ABL	synthetic4	Ablation_A	main_effect	1.396	x	geomean	5	b512	result/ablation/synthetic_2354994/ablation_contributions.tsv	MainEffect A	4グラフ幾何平均
