Path	Category	Reason	Source	SHA256	JobID	SourceSnapshotID	ExpectedFailure	UsedInThesis	CanonicalPath	Notes
raw_data/unsuccessful/early_terminated/pathmerge_sweep/roadNet-PA/job_2359080_20260711/pathmerge_sweep_results.tsv	early_terminated	探索方向確定後の意図的早期打切り(PA b8/16/32)	build_miyabi/result_pathmerge_sweep_20260711_083659_2359080/	b39b2f4f6a8a25a9a3a8a6d23c03166db0a6a1f626d9b429a5dc3a9a8e489760	2359080	phase_def_block_20260710	no	no	result/tuning/pathmerge/roadNet-PA/	trial1値はcanonical掃引に取込済
raw_data/unsuccessful/early_terminated/pathmerge_sweep/roadNet-PA/job_2359080_20260711/pathmerge_sweep.log	early_terminated	同上(ログ)	build_miyabi/result_pathmerge_sweep_20260711_083659_2359080/	59418cba3c0d6e52b8c25a350cb33f37e18795756c7e166bc041553e0f8e6f29	2359080	phase_def_block_20260710	no	no	result/tuning/pathmerge/roadNet-PA/	none
raw_data/unsuccessful/early_terminated/pathmerge_sweep/email-EuAll/job_2359096_20260711/pathmerge_sweep_results.tsv	early_terminated	探索方向確定後の意図的早期打切り(email)	build_miyabi/result_pathmerge_sweep_20260711_083959_2359096/	4ac33b396d3c088f68a594ca960531c891253d327a4798807f99f45998e7b15b	2359096	phase_def_block_20260710	no	no	result/tuning/pathmerge/	trial1値はcanonical掃引に取込済(email_smallbatch_trial1.tsv)
raw_data/unsuccessful/early_terminated/pathmerge_sweep/email-EuAll/job_2359096_20260711/pathmerge_sweep.log	early_terminated	同上(ログ)	build_miyabi/result_pathmerge_sweep_20260711_083959_2359096/	44bb21b519df36a7d7a2a92e1f7586e326d085c96326e7daef9baaec0aa84abc	2359096	phase_def_block_20260710	no	no	result/tuning/pathmerge/	none
raw_data/unsuccessful/failed/profiling/ablation_H1W1A1_incomplete/job_2359175_20260711/ablation_H1W1A1.stats.txt	incomplete	nsys stats途中切れの不正な旧出力(271B)	build_miyabi/result_profiling_20260711_092110_2359175/	ecc82d6e51d065fea8f2219f4a9dd058480f8834630222c5cd099b6ba11d6868	2359175	phase_def_block_20260710	no	no	raw_data/profiling/job_2359175_20260711/ablation_H1W1A1.stats.txt	正版5197Bは.nsys-repから再生成
failure/superseded_success/final_speedup_tables_OLD.md	superseded_success	旧世代final table(CA tuned=b64 1.64×)	build_miyabi/result_final_tables/	a28c0dae14102a52409a6e63c5ee0194bd4c9c1b0d5d87ccfab2331cc342f5de		phase_def_block_20260710	no	no	result/tables/final_speedup_tables.md	現行はCA tuned=b32 1.45×
failure/superseded_success/legacy_shared_tables/large/speedup_table_no_gpu_opt.md	superseded_success	旧shared headline派生表(large全roadNet再測定でblockに置換)	legacy_results_miyabi/result_paper/large/	027d203505c3b72c71b0dcf33a504b54a3270df7a9b581555780db0d37845321		oldtree_f05ec52_20260512	no	no	result/tables/final_speedup_tables.md	生TSVはseven_implementations/legacy_partialに残置
failure/superseded_success/legacy_shared_tables/large/summary_table_no_gpu_opt.md	superseded_success	旧shared headline派生表	legacy_results_miyabi/result_paper/large/	9dec529160a9adc65f8795803be8ac2e7e7edf9ec5b5668ae20d7c9f948ad6c1		oldtree_f05ec52_20260512	no	no	result/main_performance/proposed_variants/	none
failure/superseded_success/legacy_shared_tables/large/gpu_opt_and_gpu_opt_pure_chunked/speedup_table.md	superseded_success	旧shared提案派生表	legacy_results_miyabi/result_paper/large/gpu_opt_and_gpu_opt_pure_chunked/	02f13392a9574a7e71039ca326c3a30b0a3aed5626b009be3333fc561f0ecc5f		oldtree_f05ec52_20260512	no	no	result/main_performance/proposed_variants/	none
failure/superseded_success/legacy_shared_tables/large/gpu_opt_and_gpu_opt_pure_chunked/summary_table.md	superseded_success	旧shared提案派生表	legacy_results_miyabi/result_paper/large/gpu_opt_and_gpu_opt_pure_chunked/	1f1bc2803db47c50e056acb2b75965355f6da692127a8eb160af1f76c9a5636b		oldtree_f05ec52_20260512	no	no	result/main_performance/proposed_variants/	none
raw_data/memory_scalability/325557_3216152/gpu_opt_pure/job_notrecorded_20260512/oversubscribe_results_gpu_opt_pure.tsv	expected_oom_reference	pure single-alloc は b8192以上でOOM(意図的feasibility境界)	legacy_results_miyabi/result_paper/um/	(canonical参照)	UMv2	oldtree_f05ec52_20260512	yes	yes	result/memory_scalability/	データ複製なし。OOMはfeasibility証拠。時間値は非採用
raw_data/memory_scalability/325557_3216152/gpu_opt/job_notrecorded_20260512/oversubscribe_results_gpu_opt.tsv	expected_oom_reference	UM は b12288 で OOM_OR_FAIL(exit 137, n=1; CUDA/host/scheduler OOM の独立記録なし=原因未確定。UMも無制限でない)	legacy_results_miyabi/result_paper/um/	(canonical参照)	UMv2	oldtree_f05ec52_20260512	yes	yes	result/memory_scalability/	データ複製なし。b10240まで成功
raw_data/unsuccessful/oom/memory_paths/325557_3216152/_job/job_2368269_20260712/MANIFEST.txt	failed_oom	UM b10240 がhost-memory-limited 100 GiB configurationでOOM(runner_exit=137); 正確性実行の失敗	build_miyabi/result_memory_correctness_20260712_204001_2368269.opbs/	0a0adb3b512995de27a2add7f390f194eaaf29b472929234459c2ee99bd15b69	2368269	memory_correctness_oom_20260712	no	no	(none)	PathMerge b4096 referenceは成功。異なるホストメモリ条件のlegacy実験ではb10240 SUCCESS
failure/failed/oom/memory_correctness_2368269/correctness_summary.tsv	failed_oom	同上(summary)	build_miyabi/result_memory_correctness_20260712_204001_2368269.opbs/	f81215ae94a45a39bc5a39e3b9ed21e203865d80cb5af936d2052385da680aa7	2368269	memory_correctness_oom_20260712	no	no	(none)	gpu_opt_b10240 status=FAIL reason=runner_exit_137
raw_data/unsuccessful/oom/memory_paths/325557_3216152/_job/job_2368269_20260712/run.log	failed_oom	同上(log)	build_miyabi/result_memory_correctness_20260712_204001_2368269.opbs/	e8c01f06ae621a7315506e871c238c8b96e61bd16434088b4a53229c76c23afd	2368269	memory_correctness_oom_20260712	no	no	(none)	[EXIT] gpu_opt_b10240: 137
raw_data/unsuccessful/oom/memory_paths/325557_3216152/gpu_opt/um_b10240/job_2368269_20260712/gpu_opt_b10240.stderr.log	failed_oom	OOM証跡(stderr)	build_miyabi/result_memory_correctness_20260712_204001_2368269.opbs/	3b265304753feca4b45f3d35cbacd29b73f2c03bb862b8c3d1eaca9b25fb9f52	2368269	memory_correctness_oom_20260712	no	no	(none)	dynamic(UM)=213.38 GB, HBM3 streaming後にSIGKILL
raw_data/unsuccessful/oom/memory_paths/325557_3216152/pathmerge_bc/pathmerge_b4096/job_2368269_20260712/pathmerge_b4096.stderr.log	failed_oom	reference(stderr)	build_miyabi/result_memory_correctness_20260712_204001_2368269.opbs/	9d5f5998edf03417c0ba4668770c02d383266ad9dfd3a2c2e8779c00d07bcd8f	2368269	memory_correctness_oom_20260712	no	no	(none)	PathMerge b4096 = PASS
build_miyabi/result_memory_correctness_20260712_204001_2368269.opbs/gpu_opt_b10240.bc.tsv	failed_oom	空出力ベクトル(OOM証跡); Gate J1.1でraw_dataへ内容不変アーカイブ(Git追跡)	build_miyabi/result_memory_correctness_20260712_204001_2368269.opbs/	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2368269	memory_correctness_oom_20260712	no	no	raw_data/unsuccessful/oom/memory_paths/325557_3216152/gpu_opt/um_b10240/job_2368269_20260712/gpu_opt_b10240.bc.tsv	空ファイルSHA。正式参照=raw_data側(RAW_DATA_INDEX.tsv); build_miyabi原本は保持
raw_data/unsuccessful/early_terminated/memory_paths/325557_3216152/_job/job_2368398_20260712/MANIFEST.txt	early_terminated	comparison mismatch caused fail-fast before remaining configurations	build_miyabi/result_memory_correctness_20260712_211738_2368398.opbs/	58a5f4ad88832d64637a9e52f3fd692c70fe218a0eadabbbec2326035fb169a3	2368398	memory_correctness_failfast_20260712	no	no	result/correctness/memory_paths/canonical_job_2368587/	後続構成(chunked/UM)は未実行。等価データはjob2368587
failure/early_terminated/memory_correctness_2368398/correctness_summary.tsv	early_terminated	同上(summary)	build_miyabi/result_memory_correctness_20260712_211738_2368398.opbs/	9f8fa59d207b1815b613c1416a5b7437be15deccd09970c48ce8fa2502ae6217	2368398	memory_correctness_failfast_20260712	no	no	result/correctness/memory_paths/canonical_job_2368587/	gpu_opt_pure_b1024 status=FAIL reason=full_vector_comparison_failed
raw_data/unsuccessful/early_terminated/memory_paths/325557_3216152/_job/job_2368398_20260712/run.log	early_terminated	同上(log)	build_miyabi/result_memory_correctness_20260712_211738_2368398.opbs/	93b9f51f4d06991a03421d47d1e9fc8fcdfe79f1b896d5ef3bd94413fa5c43fe	2368398	memory_correctness_failfast_20260712	no	no	result/correctness/memory_paths/canonical_job_2368587/	pathmerge/pure runnerはexit0
