Config	Graph	Trial	Time_sec	GTEPS
Ablation_H0_W0_A0	email-EuAll	1	72.107592	1.3395
Ablation_H0_W0_A1	email-EuAll	1	42.495161	2.2730
Ablation_H0_W1_A0	email-EuAll	1	73.294355	1.3178
Ablation_H0_W1_A1	email-EuAll	1	42.899488	2.2516
Ablation_H1_W0_A0	email-EuAll	1	50.350710	1.9184
Ablation_H1_W0_A1	email-EuAll	1	28.750180	3.3597
Ablation_H1_W1_A0	email-EuAll	1	52.481184	1.8405
Ablation_H1_W1_A1	email-EuAll	1	30.421410	3.1751
Ablation_H0_W0_A0	email-EuAll	2	72.070743	1.3402
Ablation_H0_W0_A1	email-EuAll	2	42.363314	2.2801
Ablation_H0_W1_A0	email-EuAll	2	73.243350	1.3188
Ablation_H0_W1_A1	email-EuAll	2	42.881928	2.2525
Ablation_H1_W0_A0	email-EuAll	2	50.340890	1.9187
Ablation_H1_W0_A1	email-EuAll	2	28.753547	3.3593
Ablation_H1_W1_A0	email-EuAll	2	52.481763	1.8405
Ablation_H1_W1_A1	email-EuAll	2	30.254042	3.1927
Ablation_H0_W0_A0	email-EuAll	3	72.001806	1.3415
Ablation_H0_W0_A1	email-EuAll	3	42.535161	2.2708
Ablation_H0_W1_A0	email-EuAll	3	73.264358	1.3184
Ablation_H0_W1_A1	email-EuAll	3	42.893899	2.2519
Ablation_H1_W0_A0	email-EuAll	3	50.289317	1.9207
Ablation_H1_W0_A1	email-EuAll	3	28.765522	3.3579
Ablation_H1_W1_A0	email-EuAll	3	52.524467	1.8390
Ablation_H1_W1_A1	email-EuAll	3	30.424089	3.1748
