=== BC Ablation Experiment ===
Project : /work/gj17/j17000/m5291091/lab/thesis_bc_project
Runner  : /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation
Graphs  : benchmark_7000_41459 benchmark_11023_62184 56438_300801 325557_3216152
Mode    : all   Trials: 5
Result  : /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/result_ablation_20260710_182735_2354994
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/benchmark_7000_41459 all  (trial 1)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/benchmark_7000_41459 all  (trial 2)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/benchmark_7000_41459 all  (trial 3)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/benchmark_7000_41459 all  (trial 4)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/benchmark_7000_41459 all  (trial 5)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/benchmark_11023_62184 all  (trial 1)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/benchmark_11023_62184 all  (trial 2)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/benchmark_11023_62184 all  (trial 3)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/benchmark_11023_62184 all  (trial 4)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/benchmark_11023_62184 all  (trial 5)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/56438_300801 all  (trial 1)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/56438_300801 all  (trial 2)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/56438_300801 all  (trial 3)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/56438_300801 all  (trial 4)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/56438_300801 all  (trial 5)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/325557_3216152 all  (trial 1)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/325557_3216152 all  (trial 2)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/325557_3216152 all  (trial 3)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/325557_3216152 all  (trial 4)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/325557_3216152 all  (trial 5)
=== Ablation Complete ===
Config	Graph	Trial	Time_sec	GTEPS
Ablation_H0_W0_A0	benchmark_7000_41459	1	0.056044	5.1784
Ablation_H0_W0_A1	benchmark_7000_41459	1	0.043375	6.6907
Ablation_H0_W1_A0	benchmark_7000_41459	1	0.047983	6.0483
Ablation_H0_W1_A1	benchmark_7000_41459	1	0.039475	7.3518
Ablation_H1_W0_A0	benchmark_7000_41459	1	0.037516	7.7357
Ablation_H1_W0_A1	benchmark_7000_41459	1	0.030033	9.6631
Ablation_H1_W1_A0	benchmark_7000_41459	1	0.030794	9.4243
Ablation_H1_W1_A1	benchmark_7000_41459	1	0.024220	11.9823
Ablation_H0_W0_A0	benchmark_7000_41459	2	0.055944	5.1876
Ablation_H0_W0_A1	benchmark_7000_41459	2	0.047010	6.1735
Ablation_H0_W1_A0	benchmark_7000_41459	2	0.047848	6.0653
Ablation_H0_W1_A1	benchmark_7000_41459	2	0.040408	7.1821
Ablation_H1_W0_A0	benchmark_7000_41459	2	0.037555	7.7277
Ablation_H1_W0_A1	benchmark_7000_41459	2	0.030664	9.4644
Ablation_H1_W1_A0	benchmark_7000_41459	2	0.030817	9.4173
Ablation_H1_W1_A1	benchmark_7000_41459	2	0.024701	11.7492
Ablation_H0_W0_A0	benchmark_7000_41459	3	0.056000	5.1824
Ablation_H0_W0_A1	benchmark_7000_41459	3	0.043951	6.6031
Ablation_H0_W1_A0	benchmark_7000_41459	3	0.047935	6.0543
Ablation_H0_W1_A1	benchmark_7000_41459	3	0.040490	7.1675
Ablation_H1_W0_A0	benchmark_7000_41459	3	0.037762	7.6853
Ablation_H1_W0_A1	benchmark_7000_41459	3	0.030730	9.4438
Ablation_H1_W1_A0	benchmark_7000_41459	3	0.030817	9.4173
Ablation_H1_W1_A1	benchmark_7000_41459	3	0.025249	11.4938
Ablation_H0_W0_A0	benchmark_7000_41459	4	0.055571	5.2224
Ablation_H0_W0_A1	benchmark_7000_41459	4	0.044580	6.5099
Ablation_H0_W1_A0	benchmark_7000_41459	4	0.047647	6.0909
Ablation_H0_W1_A1	benchmark_7000_41459	4	0.041129	7.0562
Ablation_H1_W0_A0	benchmark_7000_41459	4	0.037430	7.7536
Ablation_H1_W0_A1	benchmark_7000_41459	4	0.029892	9.7088
Ablation_H1_W1_A0	benchmark_7000_41459	4	0.030631	9.4744
Ablation_H1_W1_A1	benchmark_7000_41459	4	0.024660	11.7684
Ablation_H0_W0_A0	benchmark_7000_41459	5	0.055777	5.2031
Ablation_H0_W0_A1	benchmark_7000_41459	5	0.044221	6.5628
Ablation_H0_W1_A0	benchmark_7000_41459	5	0.047784	6.0734
Ablation_H0_W1_A1	benchmark_7000_41459	5	0.040967	7.0840
Ablation_H1_W0_A0	benchmark_7000_41459	5	0.037290	7.7826
Ablation_H1_W0_A1	benchmark_7000_41459	5	0.030251	9.5934
Ablation_H1_W1_A0	benchmark_7000_41459	5	0.030506	9.5133
Ablation_H1_W1_A1	benchmark_7000_41459	5	0.024595	11.7996
Ablation_H0_W0_A0	benchmark_11023_62184	1	0.155606	4.4051
Ablation_H0_W0_A1	benchmark_11023_62184	1	0.096309	7.1173
Ablation_H0_W1_A0	benchmark_11023_62184	1	0.153860	4.4550
Ablation_H0_W1_A1	benchmark_11023_62184	1	0.094285	7.2700
Ablation_H1_W0_A0	benchmark_11023_62184	1	0.083936	8.1664
Ablation_H1_W0_A1	benchmark_11023_62184	1	0.054717	12.5274
Ablation_H1_W1_A0	benchmark_11023_62184	1	0.083598	8.1994
Ablation_H1_W1_A1	benchmark_11023_62184	1	0.054758	12.5178
Ablation_H0_W0_A0	benchmark_11023_62184	2	0.157071	4.3640
Ablation_H0_W0_A1	benchmark_11023_62184	2	0.094649	7.2421
Ablation_H0_W1_A0	benchmark_11023_62184	2	0.151187	4.5338
Ablation_H0_W1_A1	benchmark_11023_62184	2	0.096477	7.1049
Ablation_H1_W0_A0	benchmark_11023_62184	2	0.084188	8.1419
Ablation_H1_W0_A1	benchmark_11023_62184	2	0.054144	12.6598
Ablation_H1_W1_A0	benchmark_11023_62184	2	0.083897	8.1702
Ablation_H1_W1_A1	benchmark_11023_62184	2	0.054671	12.5377
Ablation_H0_W0_A0	benchmark_11023_62184	3	0.153957	4.4523
Ablation_H0_W0_A1	benchmark_11023_62184	3	0.095471	7.1797
Ablation_H0_W1_A0	benchmark_11023_62184	3	0.153494	4.4657
Ablation_H0_W1_A1	benchmark_11023_62184	3	0.093254	7.3504
Ablation_H1_W0_A0	benchmark_11023_62184	3	0.083900	8.1699
Ablation_H1_W0_A1	benchmark_11023_62184	3	0.054673	12.5372
Ablation_H1_W1_A0	benchmark_11023_62184	3	0.084048	8.1555
Ablation_H1_W1_A1	benchmark_11023_62184	3	0.055756	12.2937
Ablation_H0_W0_A0	benchmark_11023_62184	4	0.156449	4.3813
Ablation_H0_W0_A1	benchmark_11023_62184	4	0.095976	7.1420
Ablation_H0_W1_A0	benchmark_11023_62184	4	0.152473	4.4956
Ablation_H0_W1_A1	benchmark_11023_62184	4	0.094130	7.2820
Ablation_H1_W0_A0	benchmark_11023_62184	4	0.084426	8.1190
Ablation_H1_W0_A1	benchmark_11023_62184	4	0.054575	12.5598
Ablation_H1_W1_A0	benchmark_11023_62184	4	0.084350	8.1263
Ablation_H1_W1_A1	benchmark_11023_62184	4	0.055315	12.3917
Ablation_H0_W0_A0	benchmark_11023_62184	5	0.155951	4.3953
Ablation_H0_W0_A1	benchmark_11023_62184	5	0.097498	7.0305
Ablation_H0_W1_A0	benchmark_11023_62184	5	0.153300	4.4713
Ablation_H0_W1_A1	benchmark_11023_62184	5	0.092800	7.3863
Ablation_H1_W0_A0	benchmark_11023_62184	5	0.084500	8.1119
Ablation_H1_W0_A1	benchmark_11023_62184	5	0.055738	12.2978
Ablation_H1_W1_A0	benchmark_11023_62184	5	0.084560	8.1062
Ablation_H1_W1_A1	benchmark_11023_62184	5	0.055550	12.3394
Ablation_H0_W0_A0	56438_300801	1	3.976097	4.2697
Ablation_H0_W0_A1	56438_300801	1	3.277375	5.1799
Ablation_H0_W1_A0	56438_300801	1	3.963516	4.2832
Ablation_H0_W1_A1	56438_300801	1	3.227384	5.2602
Ablation_H1_W0_A0	56438_300801	1	2.012951	8.4337
Ablation_H1_W0_A1	56438_300801	1	1.620168	10.4783
Ablation_H1_W1_A0	56438_300801	1	2.083709	8.1473
Ablation_H1_W1_A1	56438_300801	1	1.647959	10.3016
Ablation_H0_W0_A0	56438_300801	2	3.975052	4.2708
Ablation_H0_W0_A1	56438_300801	2	3.278142	5.1787
Ablation_H0_W1_A0	56438_300801	2	3.968872	4.2774
Ablation_H0_W1_A1	56438_300801	2	3.221999	5.2690
Ablation_H1_W0_A0	56438_300801	2	2.011607	8.4393
Ablation_H1_W0_A1	56438_300801	2	1.623107	10.4593
Ablation_H1_W1_A0	56438_300801	2	2.081964	8.1541
Ablation_H1_W1_A1	56438_300801	2	1.646102	10.3132
Ablation_H0_W0_A0	56438_300801	3	3.979156	4.2664
Ablation_H0_W0_A1	56438_300801	3	3.276283	5.1817
