ComparisonClass	LabelA	LabelB	ComparisonExit	MismatchedElements	MaxAbsError	MaxRelError	SHA256A	SHA256B	Status	SummaryJSON
same_impl_diff_batch	gpu_opt_b9792	gpu_opt_b1024	0	0	3.0517578125e-05	5.316059532295196e-14	22f5eed2b4fbe5eb07368704eb0e29e2a129effc4996323fa246e5f1dfcc8a9a	adc6270b15aba9201c7667460b235d0e3762dcb9e529e6390bc5db218d738796	PASS	/work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/result_corrected_325557_20260717_215817_2404743.opbs/gpu_opt_b9792__vs__gpu_opt_b1024.json
same_impl_diff_batch	gpu_opt_pure_chunked_b16384	gpu_opt_pure_chunked_b1024	0	0	3.0517578125e-05	4.751990102037526e-14	222bcfccd085da93b13aefbda83e597020688a1afd5fab3321df14b9e27bed1f	d53afd646d3895a60f065ba98561ccfca522bb240681610c915dfabd3ff7f618	PASS	/work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/result_corrected_325557_20260717_215817_2404743.opbs/gpu_opt_pure_chunked_b16384__vs__gpu_opt_pure_chunked_b1024.json
same_batch_diff_path	gpu_opt_b1024	gpu_opt_pure_b1024	0	0	1.9073486328125e-06	1.0100438291287163e-14	adc6270b15aba9201c7667460b235d0e3762dcb9e529e6390bc5db218d738796	65c109ef96f418be91cfb0acf5891504356783a172e28f703192b3594e8cacbb	PASS	/work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/result_corrected_325557_20260717_215817_2404743.opbs/gpu_opt_b1024__vs__gpu_opt_pure_b1024.json
same_batch_diff_path	gpu_opt_b1024	gpu_opt_pure_chunked_b1024	0	0	7.62939453125e-06	1.0797020242410409e-14	adc6270b15aba9201c7667460b235d0e3762dcb9e529e6390bc5db218d738796	d53afd646d3895a60f065ba98561ccfca522bb240681610c915dfabd3ff7f618	PASS	/work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/result_corrected_325557_20260717_215817_2404743.opbs/gpu_opt_b1024__vs__gpu_opt_pure_chunked_b1024.json
same_batch_diff_path	gpu_opt_pure_b1024	gpu_opt_pure_chunked_b1024	0	0	7.62939453125e-06	1.03303473016501e-14	65c109ef96f418be91cfb0acf5891504356783a172e28f703192b3594e8cacbb	d53afd646d3895a60f065ba98561ccfca522bb240681610c915dfabd3ff7f618	PASS	/work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/result_corrected_325557_20260717_215817_2404743.opbs/gpu_opt_pure_b1024__vs__gpu_opt_pure_chunked_b1024.json
pathmerge_cross	pathmerge_b4096	gpu_opt_b1024	0	0	0.0012221336364746094	5.088913980026039e-13	164cceb2c179ce1a6552685663e6d66745a2483c877e0afe52e9f94bc7aa9496	adc6270b15aba9201c7667460b235d0e3762dcb9e529e6390bc5db218d738796	PASS	/work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/result_corrected_325557_20260717_215817_2404743.opbs/pathmerge_b4096__vs__gpu_opt_b1024.json
pathmerge_cross	pathmerge_b4096	gpu_opt_b9792	0	0	0.0012359619140625	5.088913980026039e-13	164cceb2c179ce1a6552685663e6d66745a2483c877e0afe52e9f94bc7aa9496	22f5eed2b4fbe5eb07368704eb0e29e2a129effc4996323fa246e5f1dfcc8a9a	PASS	/work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/result_corrected_325557_20260717_215817_2404743.opbs/pathmerge_b4096__vs__gpu_opt_b9792.json
pathmerge_cross	pathmerge_b4096	gpu_opt_pure_b1024	0	0	0.0012221336364746094	5.088913980026039e-13	164cceb2c179ce1a6552685663e6d66745a2483c877e0afe52e9f94bc7aa9496	65c109ef96f418be91cfb0acf5891504356783a172e28f703192b3594e8cacbb	PASS	/work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/result_corrected_325557_20260717_215817_2404743.opbs/pathmerge_b4096__vs__gpu_opt_pure_b1024.json
pathmerge_cross	pathmerge_b4096	gpu_opt_pure_chunked_b1024	0	0	0.0012221336364746094	5.088913980026039e-13	164cceb2c179ce1a6552685663e6d66745a2483c877e0afe52e9f94bc7aa9496	d53afd646d3895a60f065ba98561ccfca522bb240681610c915dfabd3ff7f618	PASS	/work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/result_corrected_325557_20260717_215817_2404743.opbs/pathmerge_b4096__vs__gpu_opt_pure_chunked_b1024.json
pathmerge_cross	pathmerge_b4096	gpu_opt_pure_chunked_b16384	0	0	0.00122833251953125	5.088913980026039e-13	164cceb2c179ce1a6552685663e6d66745a2483c877e0afe52e9f94bc7aa9496	222bcfccd085da93b13aefbda83e597020688a1afd5fab3321df14b9e27bed1f	PASS	/work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/result_corrected_325557_20260717_215817_2404743.opbs/pathmerge_b4096__vs__gpu_opt_pure_chunked_b16384.json
