Implementation	RequestedBatch	EffectiveBatch	RequestedNS	EffectiveNS	SubBatch	NumSubs	HBMCapacityBytes	FreeHBMBeforeBytes	PerSourceStateBytes	CodeDerivedAllocationBytes	AllocationFormula	MemoryMode	PrefetchMode	ExitCode	Status	FailureReason	ValueSource
GPU_Opt	1024	1024	2	2	1024	1	102000000000	101400000000	10418856	21337817088	estimated: EffectiveNS(2) * EffectiveBatch(1024 sources) * PerSourceStateBytes(10418856 bytes/source)	managed_unified_memory	not_recorded	0	SUCCESS	not_applicable	RequestedNS=code_constant:src/proposed/host_um.cu:264; EffectiveBatch/SubBatch/NumSubs/EffectiveNS=recorded:implementation-specific dynamic(UM) log; HBMCapacityBytes/FreeHBMBeforeBytes=recorded:GPU_HBM3_decimal_GB*1000000000; PerSourceStateBytes/CodeDerivedAllocationBytes=estimated:src/proposed/host_um.cu:270-275,345-353
GPU_Opt_Pure_Chunked	1024	1024	2	2	1024	1	102000000000	101400000000	10418856	21337817088	estimated: EffectiveNS(2) * SubBatch(1024 sources) * PerSourceStateBytes(10418856 bytes/source)	explicit_device_memory	not_applicable	0	SUCCESS	not_applicable	RequestedNS=code_constant:src/proposed/host_chunked.cu:93; EffectiveBatch/SubBatch/NumSubs/EffectiveNS=recorded:implementation-specific dynamic(SUB_BATCH alloc) log; HBMCapacityBytes/FreeHBMBeforeBytes=recorded:GPU_decimal_GB*1000000000; PerSourceStateBytes/CodeDerivedAllocationBytes=estimated:src/proposed/host_chunked.cu:145-151,176-184
GPU_Opt_Pure	1024	1024	2	2	not_applicable	not_applicable	102000000000	101400000000	10418856	21337817088	estimated: EffectiveNS(code_constant=2) * EffectiveBatch(1024 sources) * PerSourceStateBytes(10418856 bytes/source)	explicit_device_memory	not_applicable	0	SUCCESS	not_applicable	RequestedNS/EffectiveNS=code_constant:src/proposed/host_pure.cu:92; EffectiveBatch=recorded:implementation-specific dynamic(GPU) log; HBMCapacityBytes/FreeHBMBeforeBytes=recorded:GPU_decimal_GB*1000000000; PerSourceStateBytes/CodeDerivedAllocationBytes=estimated:src/proposed/host_pure.cu:141-157
GPU_Opt	9792	9792	2	1	6596	2	102000000000	101400000000	10418856	102021437952	estimated: EffectiveNS(1) * EffectiveBatch(9792 sources) * PerSourceStateBytes(10418856 bytes/source)	managed_unified_memory	hbm3_streaming_prefetch	0	SUCCESS	not_applicable	RequestedNS=code_constant:src/proposed/host_um.cu:264; EffectiveBatch/SubBatch/NumSubs/EffectiveNS=recorded:implementation-specific dynamic(UM) log; HBMCapacityBytes/FreeHBMBeforeBytes=recorded:GPU_HBM3_decimal_GB*1000000000; PerSourceStateBytes/CodeDerivedAllocationBytes=estimated:src/proposed/host_um.cu:270-275,345-353
GPU_Opt_Pure_Chunked	16384	16384	2	1	6596	3	102000000000	101400000000	10418856	68722774176	estimated: EffectiveNS(1) * SubBatch(6596 sources) * PerSourceStateBytes(10418856 bytes/source)	explicit_device_memory_chunked	not_applicable	0	SUCCESS	not_applicable	RequestedNS=code_constant:src/proposed/host_chunked.cu:93; EffectiveBatch/SubBatch/NumSubs/EffectiveNS=recorded:implementation-specific dynamic(SUB_BATCH alloc) log; HBMCapacityBytes/FreeHBMBeforeBytes=recorded:GPU_decimal_GB*1000000000; PerSourceStateBytes/CodeDerivedAllocationBytes=estimated:src/proposed/host_chunked.cu:145-151,176-184
PathMerge	4096	4096	not_applicable	not_applicable	not_applicable	not_applicable	not_recorded	101400000000	14324512	58675805620	estimated PathMerge-only: 8*n(325557) + EffectiveBatch(4096) * (44*n+4)(14324512 bytes/source) + 3*4 bytes	managed_memory_pathmerge	not_applicable	0	SUCCESS	not_applicable	EffectiveBatch/FreeHBMBeforeBytes=recorded:implementation-specific PathMerge log; RequestedNS/EffectiveNS/SubBatch/NumSubs/PrefetchMode=not_applicable; PerSourceStateBytes/CodeDerivedAllocationBytes=estimated_PathMerge_formula:src/baseline/pathmerge.cu:67-93,120-125;src/baseline/galliot.cu:33-63
GPU_Opt_Pure	4096	4096	2	2	not_applicable	not_applicable	102000000000	101400000000	10418856	85351268352	estimated: EffectiveNS(code_constant=2) * EffectiveBatch(4096 sources) * PerSourceStateBytes(10418856 bytes/source)	explicit_device_memory	not_applicable	0	EXPECTED_SUCCESS	not_applicable	RequestedNS/EffectiveNS=code_constant:src/proposed/host_pure.cu:92; EffectiveBatch=recorded:implementation-specific dynamic(GPU) log; HBMCapacityBytes/FreeHBMBeforeBytes=recorded:GPU_decimal_GB*1000000000; PerSourceStateBytes/CodeDerivedAllocationBytes=estimated:src/proposed/host_pure.cu:141-157
GPU_Opt_Pure	8192	8192	2	2	not_applicable	not_applicable	102000000000	101400000000	10418856	170702536704	estimated: EffectiveNS(code_constant=2) * EffectiveBatch(8192 sources) * PerSourceStateBytes(10418856 bytes/source)	explicit_device_memory	not_applicable	1	EXPECTED_CUDA_OOM	oom_evidence=cuda_oom;matched=/work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/result_corrected_325557_20260717_215817_2404743.opbs/pure_b8192.stderr.log:5;runner_exit=1	RequestedNS/EffectiveNS=code_constant:src/proposed/host_pure.cu:92; EffectiveBatch=recorded:implementation-specific dynamic(GPU) log; HBMCapacityBytes/FreeHBMBeforeBytes=recorded:GPU_decimal_GB*1000000000; PerSourceStateBytes/CodeDerivedAllocationBytes=estimated:src/proposed/host_pure.cu:141-157
GPU_Opt	10240	10240	2	1	6596	2	102000000000	101400000000	10418856	106689085440	estimated: EffectiveNS(1) * EffectiveBatch(10240 sources) * PerSourceStateBytes(10418856 bytes/source)	managed_unified_memory	hbm3_streaming_prefetch	0	EXPECTED_SUCCESS	not_applicable	RequestedNS=code_constant:src/proposed/host_um.cu:264; EffectiveBatch/SubBatch/NumSubs/EffectiveNS=recorded:implementation-specific dynamic(UM) log; HBMCapacityBytes/FreeHBMBeforeBytes=recorded:GPU_HBM3_decimal_GB*1000000000; PerSourceStateBytes/CodeDerivedAllocationBytes=estimated:src/proposed/host_um.cu:270-275,345-353
GPU_Opt	12288	12288	2	1	6596	2	102000000000	101400000000	10418856	128026902528	estimated: EffectiveNS(1) * EffectiveBatch(12288 sources) * PerSourceStateBytes(10418856 bytes/source)	managed_unified_memory	hbm3_streaming_prefetch	137	EXPECTED_FAILURE_STATUS	oom_evidence=none;runner_exit=137;sigkill_exit_137	RequestedNS=code_constant:src/proposed/host_um.cu:264; EffectiveBatch/SubBatch/NumSubs/EffectiveNS=recorded:implementation-specific dynamic(UM) log; HBMCapacityBytes/FreeHBMBeforeBytes=recorded:GPU_HBM3_decimal_GB*1000000000; PerSourceStateBytes/CodeDerivedAllocationBytes=estimated:src/proposed/host_um.cu:270-275,345-353
