Config	Implementation	RunnerExit	RunnerLevelStatus	OOMEvidenceClass	MatchedFile	LineNumber	ExactMatchedLine
gpu_opt_b1024	GPU_Opt	0	SUCCESS	none	not_applicable	not_applicable	not_applicable
gpu_opt_pure_chunked_b1024	GPU_Opt_Pure_Chunked	0	SUCCESS	none	not_applicable	not_applicable	not_applicable
gpu_opt_pure_b1024	GPU_Opt_Pure	0	SUCCESS	none	not_applicable	not_applicable	not_applicable
gpu_opt_b9792	GPU_Opt	0	SUCCESS	none	not_applicable	not_applicable	not_applicable
gpu_opt_pure_chunked_b16384	GPU_Opt_Pure_Chunked	0	SUCCESS	none	not_applicable	not_applicable	not_applicable
pathmerge_b4096	PathMerge	0	SUCCESS	none	not_applicable	not_applicable	not_applicable
pure_b4096	GPU_Opt_Pure	0	SUCCESS	none	not_applicable	not_applicable	not_applicable
pure_b8192	GPU_Opt_Pure	1	OOM_CONFIRMED	cuda_oom	/work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/result_corrected_325557_20260717_215817_2404743.opbs/pure_b8192.stderr.log	5	CUDA error at /work/gj17/j17000/m5291091/lab/thesis_bc_project/src/proposed/host_pure.cu:144: out of memory
um_b10240	GPU_Opt	0	SUCCESS	none	not_applicable	not_applicable	not_applicable
um_b12288	GPU_Opt	137	RUNTIME_FAILED	none	not_applicable	not_applicable	not_applicable
chunked_b16384	GPU_Opt_Pure_Chunked	0	SUCCESS	none	not_applicable	not_applicable	not_applicable
