Implementation	Graph	Nodes	Edges	Trial	Time_sec	GTEPS
GPU_Opt	email-EuAll	265009	364481	1	30.909866	3.1249
GPU_Opt	email-EuAll	265009	364481	2	30.768626	3.1393
GPU_Opt	email-EuAll	265009	364481	3	30.816941	3.1343
GPU_Opt	email-EuAll	265009	364481	4	30.809385	3.1351
GPU_Opt	email-EuAll	265009	364481	5	30.752036	3.1410
GPU_Opt_Pure	email-EuAll	265009	364481	1	30.552636	3.1615
GPU_Opt_Pure	email-EuAll	265009	364481	2	30.737780	3.1424
GPU_Opt_Pure	email-EuAll	265009	364481	3	30.722625	3.1440
GPU_Opt_Pure	email-EuAll	265009	364481	4	30.784063	3.1377
GPU_Opt_Pure	email-EuAll	265009	364481	5	30.765465	3.1396
GPU_Opt_Pure_Chunked	email-EuAll	265009	364481	1	30.710181	3.1452
GPU_Opt_Pure_Chunked	email-EuAll	265009	364481	2	30.754359	3.1407
GPU_Opt_Pure_Chunked	email-EuAll	265009	364481	3	30.771129	3.1390
GPU_Opt_Pure_Chunked	email-EuAll	265009	364481	4	30.740415	3.1421
GPU_Opt_Pure_Chunked	email-EuAll	265009	364481	5	30.778630	3.1382
