Implementation	Graph	MaxBC_Index	MaxBC_Value
GPU_Opt	roadNet-PA	557532	151395302679.08
GPU_Opt	roadNet-PA	557532	151395302679.08
GPU_Opt	roadNet-PA	557532	151395302679.08
GPU_Opt	roadNet-TX	400570	164495142042.45
GPU_Opt	roadNet-TX	400570	164495142042.45
GPU_Opt	roadNet-TX	400570	164495142042.45
GPU_Opt	roadNet-CA	1584888	686380725021.27
GPU_Opt	roadNet-CA	1584888	686380725021.27
GPU_Opt	roadNet-CA	1584888	686380725021.27
GPU_Opt_Pure_Chunked	roadNet-PA	557532	151395302679.08
GPU_Opt_Pure_Chunked	roadNet-PA	557532	151395302679.08
GPU_Opt_Pure_Chunked	roadNet-PA	557532	151395302679.08
GPU_Opt_Pure_Chunked	roadNet-TX	400570	164495142042.45
GPU_Opt_Pure_Chunked	roadNet-TX	400570	164495142042.45
GPU_Opt_Pure_Chunked	roadNet-TX	400570	164495142042.45
GPU_Opt_Pure_Chunked	roadNet-CA	1584888	686380725021.27
GPU_Opt_Pure_Chunked	roadNet-CA	1584888	686380725021.27
GPU_Opt_Pure_Chunked	roadNet-CA	1584888	686380725021.27
