Implementation	Graph	Nodes	Edges	Trial	Time_sec	GTEPS
GPU_Opt	roadNet-PA	1088092	1541898	1	1063.744505	1.5772
GPU_Opt	roadNet-PA	1088092	1541898	2	1063.565426	1.5775
GPU_Opt	roadNet-PA	1088092	1541898	3	1063.561320	1.5775
GPU_Opt	roadNet-TX	1379917	1921660	1	1638.184956	1.6187
GPU_Opt	roadNet-TX	1379917	1921660	2	1637.831365	1.6191
GPU_Opt	roadNet-TX	1379917	1921660	3	1637.710355	1.6192
GPU_Opt	roadNet-CA	1965206	2766607	1	3498.371229	1.5541
GPU_Opt	roadNet-CA	1965206	2766607	2	3497.918396	1.5543
GPU_Opt	roadNet-CA	1965206	2766607	3	3497.494364	1.5545
GPU_Opt_Pure_Chunked	roadNet-PA	1088092	1541898	1	1061.450245	1.5806
GPU_Opt_Pure_Chunked	roadNet-PA	1088092	1541898	2	1061.649829	1.5803
GPU_Opt_Pure_Chunked	roadNet-PA	1088092	1541898	3	1061.294841	1.5808
GPU_Opt_Pure_Chunked	roadNet-TX	1379917	1921660	1	1634.754416	1.6221
GPU_Opt_Pure_Chunked	roadNet-TX	1379917	1921660	2	1635.513072	1.6213
GPU_Opt_Pure_Chunked	roadNet-TX	1379917	1921660	3	1634.898945	1.6220
GPU_Opt_Pure_Chunked	roadNet-CA	1965206	2766607	1	3492.578248	1.5567
GPU_Opt_Pure_Chunked	roadNet-CA	1965206	2766607	2	3493.263799	1.5564
GPU_Opt_Pure_Chunked	roadNet-CA	1965206	2766607	3	3492.395051	1.5568
