Implementation	Graph	MaxBC_Index	MaxBC_Value
GPU_Opt_Pure	roadNet-PA	557532	151395302679.08
GPU_Opt_Pure	roadNet-PA	557532	151395302679.08
GPU_Opt_Pure	roadNet-PA	557532	151395302679.08
GPU_Opt_Pure	roadNet-TX	400570	164495142042.45
GPU_Opt_Pure	roadNet-TX	400570	164495142042.45
GPU_Opt_Pure	roadNet-TX	400570	164495142042.45
GPU_Opt_Pure	roadNet-CA	1584888	686380725021.27
GPU_Opt_Pure	roadNet-CA	1584888	686380725021.27
GPU_Opt_Pure	roadNet-CA	1584888	686380725021.27
PathMerge_BC	roadNet-PA	557532	151395302679.08
PathMerge_BC	roadNet-PA	557532	151395302679.08
PathMerge_BC	roadNet-PA	557532	151395302679.08
PathMerge_BC	roadNet-TX	400570	164495142042.45
PathMerge_BC	roadNet-TX	400570	164495142042.45
PathMerge_BC	roadNet-TX	400570	164495142042.45
PathMerge_BC	roadNet-CA	1584888	686380725021.27
PathMerge_BC	roadNet-CA	1584888	686380725021.27
PathMerge_BC	roadNet-CA	1584888	686380725021.27
