Implementation	Graph	Nodes	Edges	Trial	Time_sec	GTEPS
GPU_Opt_Pure	roadNet-PA	1088092	1541898	1	1062.560198	1.5789
GPU_Opt_Pure	roadNet-PA	1088092	1541898	2	1062.664307	1.5788
GPU_Opt_Pure	roadNet-PA	1088092	1541898	3	1062.395351	1.5792
GPU_Opt_Pure	roadNet-TX	1379917	1921660	1	1635.967498	1.6209
GPU_Opt_Pure	roadNet-TX	1379917	1921660	2	1636.099992	1.6208
GPU_Opt_Pure	roadNet-TX	1379917	1921660	3	1636.253710	1.6206
GPU_Opt_Pure	roadNet-CA	1965206	2766607	1	3494.981294	1.5556
GPU_Opt_Pure	roadNet-CA	1965206	2766607	2	3495.339685	1.5555
GPU_Opt_Pure	roadNet-CA	1965206	2766607	3	3494.877931	1.5557
PathMerge_BC	roadNet-PA	1088092	1541898	1	916.823023	1.8299
PathMerge_BC	roadNet-PA	1088092	1541898	2	934.282666	1.7957
PathMerge_BC	roadNet-PA	1088092	1541898	3	918.665912	1.8263
PathMerge_BC	roadNet-TX	1379917	1921660	1	1475.814503	1.7968
PathMerge_BC	roadNet-TX	1379917	1921660	2	1521.884003	1.7424
PathMerge_BC	roadNet-TX	1379917	1921660	3	1482.678304	1.7885
PathMerge_BC	roadNet-CA	1965206	2766607	1	3519.456600	1.5448
PathMerge_BC	roadNet-CA	1965206	2766607	2	3464.396358	1.5694
PathMerge_BC	roadNet-CA	1965206	2766607	3	3499.029697	1.5538
