Implementation	Graph	MaxBC_Index	MaxBC_Value
GPU_Opt	325557_3216152	272817	39343001000.11
GPU_Opt	325557_3216152	272817	39343001000.11
GPU_Opt	325557_3216152	272817	39343001000.11
GPU_Opt	325557_3216152	272817	39343001000.11
GPU_Opt	325557_3216152	272817	39343001000.11
GPU_Opt	amazon0302	33	2980418526.54
GPU_Opt	amazon0302	33	2980418526.54
GPU_Opt	amazon0302	33	2980418526.54
GPU_Opt	amazon0302	33	2980418526.54
GPU_Opt	amazon0302	33	2980418526.54
GPU_Opt	email-EuAll	10	2384894520.80
GPU_Opt	email-EuAll	10	2384894520.80
GPU_Opt	email-EuAll	10	2384894520.80
GPU_Opt	email-EuAll	10	2384894520.80
GPU_Opt	email-EuAll	10	2384894520.80
GPU_Opt	web-NotreDame	0	24747250456.69
GPU_Opt	web-NotreDame	0	24747250456.69
GPU_Opt	web-NotreDame	0	24747250456.69
GPU_Opt	web-NotreDame	0	24747250456.69
GPU_Opt	web-NotreDame	0	24747250456.69
GPU_Opt	amazon0505	593	16615753058.97
GPU_Opt	amazon0505	593	16615753058.97
GPU_Opt	amazon0505	593	16615753058.97
GPU_Opt	amazon0505	593	16615753058.97
GPU_Opt	amazon0505	593	16615753058.97
GPU_Opt	web-Google	568909	23206521340.60
GPU_Opt	web-Google	568909	23206521340.60
GPU_Opt	web-Google	568909	23206521340.60
GPU_Opt	web-Google	568909	23206521340.60
GPU_Opt	web-Google	568909	23206521340.60
GPU_Opt_Pure_Chunked	325557_3216152	272817	39343001000.11
GPU_Opt_Pure_Chunked	325557_3216152	272817	39343001000.11
GPU_Opt_Pure_Chunked	325557_3216152	272817	39343001000.11
GPU_Opt_Pure_Chunked	325557_3216152	272817	39343001000.11
GPU_Opt_Pure_Chunked	325557_3216152	272817	39343001000.11
GPU_Opt_Pure_Chunked	amazon0302	33	2980418526.54
GPU_Opt_Pure_Chunked	amazon0302	33	2980418526.54
GPU_Opt_Pure_Chunked	amazon0302	33	2980418526.54
GPU_Opt_Pure_Chunked	amazon0302	33	2980418526.54
GPU_Opt_Pure_Chunked	amazon0302	33	2980418526.54
GPU_Opt_Pure_Chunked	email-EuAll	10	2384894520.80
GPU_Opt_Pure_Chunked	email-EuAll	10	2384894520.80
GPU_Opt_Pure_Chunked	email-EuAll	10	2384894520.80
GPU_Opt_Pure_Chunked	email-EuAll	10	2384894520.80
GPU_Opt_Pure_Chunked	email-EuAll	10	2384894520.80
GPU_Opt_Pure_Chunked	web-NotreDame	0	24747250456.69
GPU_Opt_Pure_Chunked	web-NotreDame	0	24747250456.69
GPU_Opt_Pure_Chunked	web-NotreDame	0	24747250456.69
GPU_Opt_Pure_Chunked	web-NotreDame	0	24747250456.69
GPU_Opt_Pure_Chunked	web-NotreDame	0	24747250456.69
GPU_Opt_Pure_Chunked	amazon0505	593	16615753058.97
GPU_Opt_Pure_Chunked	amazon0505	593	16615753058.97
GPU_Opt_Pure_Chunked	amazon0505	593	16615753058.97
GPU_Opt_Pure_Chunked	amazon0505	593	16615753058.97
GPU_Opt_Pure_Chunked	amazon0505	593	16615753058.97
GPU_Opt_Pure_Chunked	web-Google	568909	23206521340.60
GPU_Opt_Pure_Chunked	web-Google	568909	23206521340.60
GPU_Opt_Pure_Chunked	web-Google	568909	23206521340.60
GPU_Opt_Pure_Chunked	web-Google	568909	23206521340.60
GPU_Opt_Pure_Chunked	web-Google	568909	23206521340.60
