Implementation	Graph	Nodes	Edges	Trial	Time_sec	GTEPS
GPU_Opt	325557_3216152	325557	3216152	1	76.963645	13.6044
GPU_Opt	325557_3216152	325557	3216152	2	76.925178	13.6112
GPU_Opt	325557_3216152	325557	3216152	3	76.974482	13.6024
GPU_Opt	325557_3216152	325557	3216152	4	76.722229	13.6472
GPU_Opt	325557_3216152	325557	3216152	5	76.751871	13.6419
GPU_Opt	amazon0302	262111	899792	1	51.463213	4.5828
GPU_Opt	amazon0302	262111	899792	2	51.476697	4.5816
GPU_Opt	amazon0302	262111	899792	3	51.459943	4.5831
GPU_Opt	amazon0302	262111	899792	4	51.474570	4.5818
GPU_Opt	amazon0302	262111	899792	5	51.423441	4.5863
GPU_Opt	email-EuAll	265009	364481	1	191.065340	0.5055
GPU_Opt	email-EuAll	265009	364481	2	190.876241	0.5060
GPU_Opt	email-EuAll	265009	364481	3	190.933859	0.5059
GPU_Opt	email-EuAll	265009	364481	4	191.126728	0.5054
GPU_Opt	email-EuAll	265009	364481	5	191.083645	0.5055
GPU_Opt	web-NotreDame	325729	1090108	1	40.904139	8.6808
GPU_Opt	web-NotreDame	325729	1090108	2	40.948968	8.6713
GPU_Opt	web-NotreDame	325729	1090108	3	40.916379	8.6782
GPU_Opt	web-NotreDame	325729	1090108	4	40.923312	8.6767
GPU_Opt	web-NotreDame	325729	1090108	5	40.940561	8.6731
GPU_Opt	amazon0505	410236	2439437	1	168.290287	5.9465
GPU_Opt	amazon0505	410236	2439437	2	168.312460	5.9458
GPU_Opt	amazon0505	410236	2439437	3	168.289561	5.9466
GPU_Opt	amazon0505	410236	2439437	4	168.251965	5.9479
GPU_Opt	amazon0505	410236	2439437	5	168.355972	5.9442
GPU_Opt	web-Google	875713	4322051	1	875.186292	4.3247
GPU_Opt	web-Google	875713	4322051	2	875.213674	4.3245
GPU_Opt	web-Google	875713	4322051	3	874.916235	4.3260
GPU_Opt	web-Google	875713	4322051	4	874.827038	4.3264
GPU_Opt	web-Google	875713	4322051	5	874.759699	4.3268
GPU_Opt_Pure_Chunked	325557_3216152	325557	3216152	1	77.902555	13.4404
GPU_Opt_Pure_Chunked	325557_3216152	325557	3216152	2	77.683952	13.4782
GPU_Opt_Pure_Chunked	325557_3216152	325557	3216152	3	77.948891	13.4324
GPU_Opt_Pure_Chunked	325557_3216152	325557	3216152	4	77.722573	13.4715
GPU_Opt_Pure_Chunked	325557_3216152	325557	3216152	5	78.091920	13.4078
GPU_Opt_Pure_Chunked	amazon0302	262111	899792	1	52.215357	4.5168
GPU_Opt_Pure_Chunked	amazon0302	262111	899792	2	52.197412	4.5183
GPU_Opt_Pure_Chunked	amazon0302	262111	899792	3	52.224833	4.5160
GPU_Opt_Pure_Chunked	amazon0302	262111	899792	4	52.248669	4.5139
GPU_Opt_Pure_Chunked	amazon0302	262111	899792	5	52.215730	4.5167
GPU_Opt_Pure_Chunked	email-EuAll	265009	364481	1	190.968928	0.5058
GPU_Opt_Pure_Chunked	email-EuAll	265009	364481	2	190.896019	0.5060
GPU_Opt_Pure_Chunked	email-EuAll	265009	364481	3	190.919519	0.5059
GPU_Opt_Pure_Chunked	email-EuAll	265009	364481	4	191.065483	0.5055
GPU_Opt_Pure_Chunked	email-EuAll	265009	364481	5	190.932708	0.5059
GPU_Opt_Pure_Chunked	web-NotreDame	325729	1090108	1	41.203042	8.6178
GPU_Opt_Pure_Chunked	web-NotreDame	325729	1090108	2	41.201707	8.6181
GPU_Opt_Pure_Chunked	web-NotreDame	325729	1090108	3	41.190146	8.6205
GPU_Opt_Pure_Chunked	web-NotreDame	325729	1090108	4	41.306239	8.5963
GPU_Opt_Pure_Chunked	web-NotreDame	325729	1090108	5	41.241933	8.6097
GPU_Opt_Pure_Chunked	amazon0505	410236	2439437	1	169.953813	5.8883
GPU_Opt_Pure_Chunked	amazon0505	410236	2439437	2	170.034951	5.8855
GPU_Opt_Pure_Chunked	amazon0505	410236	2439437	3	170.014093	5.8862
GPU_Opt_Pure_Chunked	amazon0505	410236	2439437	4	169.984183	5.8873
GPU_Opt_Pure_Chunked	amazon0505	410236	2439437	5	169.977237	5.8875
GPU_Opt_Pure_Chunked	web-Google	875713	4322051	1	898.247544	4.2136
GPU_Opt_Pure_Chunked	web-Google	875713	4322051	2	897.962033	4.2150
GPU_Opt_Pure_Chunked	web-Google	875713	4322051	3	898.033958	4.2146
GPU_Opt_Pure_Chunked	web-Google	875713	4322051	4	898.186725	4.2139
GPU_Opt_Pure_Chunked	web-Google	875713	4322051	5	898.252904	4.2136
