Implementation	Graph	MaxBC_Index	MaxBC_Value
GPU_Opt_Pure	325557_3216152	272817	39343001000.11
GPU_Opt_Pure	325557_3216152	272817	39343001000.11
GPU_Opt_Pure	325557_3216152	272817	39343001000.11
GPU_Opt_Pure	325557_3216152	272817	39343001000.11
GPU_Opt_Pure	325557_3216152	272817	39343001000.11
GPU_Opt_Pure	amazon0302	33	2980418526.54
GPU_Opt_Pure	amazon0302	33	2980418526.54
GPU_Opt_Pure	amazon0302	33	2980418526.54
GPU_Opt_Pure	amazon0302	33	2980418526.54
GPU_Opt_Pure	amazon0302	33	2980418526.54
GPU_Opt_Pure	email-EuAll	10	2384894520.80
GPU_Opt_Pure	email-EuAll	10	2384894520.80
GPU_Opt_Pure	email-EuAll	10	2384894520.80
GPU_Opt_Pure	email-EuAll	10	2384894520.80
GPU_Opt_Pure	email-EuAll	10	2384894520.80
GPU_Opt_Pure	web-NotreDame	0	24747250456.69
GPU_Opt_Pure	web-NotreDame	0	24747250456.69
GPU_Opt_Pure	web-NotreDame	0	24747250456.69
GPU_Opt_Pure	web-NotreDame	0	24747250456.69
GPU_Opt_Pure	web-NotreDame	0	24747250456.69
GPU_Opt_Pure	amazon0505	593	16615753058.97
GPU_Opt_Pure	amazon0505	593	16615753058.97
GPU_Opt_Pure	amazon0505	593	16615753058.97
GPU_Opt_Pure	amazon0505	593	16615753058.97
GPU_Opt_Pure	amazon0505	593	16615753058.97
GPU_Opt_Pure	web-Google	568909	23206521340.60
GPU_Opt_Pure	web-Google	568909	23206521340.60
GPU_Opt_Pure	web-Google	568909	23206521340.60
GPU_Opt_Pure	web-Google	568909	23206521340.60
GPU_Opt_Pure	web-Google	568909	23206521340.60
PathMerge_BC	325557_3216152	272817	39343001000.11
PathMerge_BC	325557_3216152	272817	39343001000.11
PathMerge_BC	325557_3216152	272817	39343001000.11
PathMerge_BC	325557_3216152	272817	39343001000.11
PathMerge_BC	325557_3216152	272817	39343001000.11
PathMerge_BC	amazon0302	33	2980418526.54
PathMerge_BC	amazon0302	33	2980418526.54
PathMerge_BC	amazon0302	33	2980418526.54
PathMerge_BC	amazon0302	33	2980418526.54
PathMerge_BC	amazon0302	33	2980418526.54
PathMerge_BC	email-EuAll	10	2384894520.80
PathMerge_BC	email-EuAll	10	2384894520.80
PathMerge_BC	email-EuAll	10	2384894520.80
PathMerge_BC	email-EuAll	10	2384894520.80
PathMerge_BC	email-EuAll	10	2384894520.80
PathMerge_BC	web-NotreDame	0	24747250456.69
PathMerge_BC	web-NotreDame	0	24747250456.69
PathMerge_BC	web-NotreDame	0	24747250456.69
PathMerge_BC	web-NotreDame	0	24747250456.69
PathMerge_BC	web-NotreDame	0	24747250456.69
PathMerge_BC	amazon0505	593	16615753058.97
PathMerge_BC	amazon0505	593	16615753058.97
PathMerge_BC	amazon0505	593	16615753058.97
PathMerge_BC	amazon0505	593	16615753058.97
PathMerge_BC	amazon0505	593	16615753058.97
PathMerge_BC	web-Google	568909	23206521340.60
PathMerge_BC	web-Google	568909	23206521340.60
PathMerge_BC	web-Google	568909	23206521340.60
PathMerge_BC	web-Google	568909	23206521340.60
PathMerge_BC	web-Google	568909	23206521340.60
