Implementation	Graph	Nodes	Edges	Trial	Time_sec	GTEPS
GPU_Opt_Pure	325557_3216152	325557	3216152	1	77.941516	13.4337
GPU_Opt_Pure	325557_3216152	325557	3216152	2	77.964795	13.4297
GPU_Opt_Pure	325557_3216152	325557	3216152	3	77.718593	13.4722
GPU_Opt_Pure	325557_3216152	325557	3216152	4	77.890294	13.4425
GPU_Opt_Pure	325557_3216152	325557	3216152	5	77.877214	13.4448
GPU_Opt_Pure	amazon0302	262111	899792	1	52.204417	4.5177
GPU_Opt_Pure	amazon0302	262111	899792	2	52.281283	4.5111
GPU_Opt_Pure	amazon0302	262111	899792	3	52.212869	4.5170
GPU_Opt_Pure	amazon0302	262111	899792	4	52.200102	4.5181
GPU_Opt_Pure	amazon0302	262111	899792	5	52.230648	4.5155
GPU_Opt_Pure	email-EuAll	265009	364481	1	191.043969	0.5056
GPU_Opt_Pure	email-EuAll	265009	364481	2	190.952336	0.5058
GPU_Opt_Pure	email-EuAll	265009	364481	3	190.962350	0.5058
GPU_Opt_Pure	email-EuAll	265009	364481	4	190.849943	0.5061
GPU_Opt_Pure	email-EuAll	265009	364481	5	190.867600	0.5061
GPU_Opt_Pure	web-NotreDame	325729	1090108	1	41.267563	8.6043
GPU_Opt_Pure	web-NotreDame	325729	1090108	2	41.292494	8.5991
GPU_Opt_Pure	web-NotreDame	325729	1090108	3	41.374251	8.5821
GPU_Opt_Pure	web-NotreDame	325729	1090108	4	41.320307	8.5933
GPU_Opt_Pure	web-NotreDame	325729	1090108	5	41.315572	8.5943
GPU_Opt_Pure	amazon0505	410236	2439437	1	170.050383	5.8850
GPU_Opt_Pure	amazon0505	410236	2439437	2	170.015544	5.8862
GPU_Opt_Pure	amazon0505	410236	2439437	3	170.037472	5.8854
GPU_Opt_Pure	amazon0505	410236	2439437	4	169.996780	5.8868
GPU_Opt_Pure	amazon0505	410236	2439437	5	169.969115	5.8878
GPU_Opt_Pure	web-Google	875713	4322051	1	897.921908	4.2152
GPU_Opt_Pure	web-Google	875713	4322051	2	897.942924	4.2151
GPU_Opt_Pure	web-Google	875713	4322051	3	897.659661	4.2164
GPU_Opt_Pure	web-Google	875713	4322051	4	897.664461	4.2164
GPU_Opt_Pure	web-Google	875713	4322051	5	897.577446	4.2168
PathMerge_BC	325557_3216152	325557	3216152	1	772.472236	1.3554
PathMerge_BC	325557_3216152	325557	3216152	2	771.898346	1.3564
PathMerge_BC	325557_3216152	325557	3216152	3	772.567517	1.3553
PathMerge_BC	325557_3216152	325557	3216152	4	772.177331	1.3560
PathMerge_BC	325557_3216152	325557	3216152	5	771.889621	1.3565
PathMerge_BC	amazon0302	262111	899792	1	153.076896	1.5407
PathMerge_BC	amazon0302	262111	899792	2	153.094177	1.5405
PathMerge_BC	amazon0302	262111	899792	3	153.102976	1.5404
PathMerge_BC	amazon0302	262111	899792	4	153.021806	1.5413
PathMerge_BC	amazon0302	262111	899792	5	153.003122	1.5414
PathMerge_BC	email-EuAll	265009	364481	1	220.386278	0.4383
PathMerge_BC	email-EuAll	265009	364481	2	220.360970	0.4383
PathMerge_BC	email-EuAll	265009	364481	3	220.385363	0.4383
PathMerge_BC	email-EuAll	265009	364481	4	220.411206	0.4382
PathMerge_BC	email-EuAll	265009	364481	5	220.338974	0.4384
PathMerge_BC	web-NotreDame	325729	1090108	1	349.725688	1.0153
PathMerge_BC	web-NotreDame	325729	1090108	2	349.495852	1.0160
PathMerge_BC	web-NotreDame	325729	1090108	3	349.335086	1.0164
PathMerge_BC	web-NotreDame	325729	1090108	4	349.543388	1.0158
PathMerge_BC	web-NotreDame	325729	1090108	5	349.382452	1.0163
PathMerge_BC	amazon0505	410236	2439437	1	560.985980	1.7839
PathMerge_BC	amazon0505	410236	2439437	2	560.569445	1.7852
PathMerge_BC	amazon0505	410236	2439437	3	560.747144	1.7847
PathMerge_BC	amazon0505	410236	2439437	4	561.012430	1.7838
PathMerge_BC	amazon0505	410236	2439437	5	560.774805	1.7846
PathMerge_BC	web-Google	875713	4322051	1	3154.176610	1.2000
PathMerge_BC	web-Google	875713	4322051	2	3131.829794	1.2085
PathMerge_BC	web-Google	875713	4322051	3	3104.279116	1.2192
PathMerge_BC	web-Google	875713	4322051	4	3156.247573	1.1992
PathMerge_BC	web-Google	875713	4322051	5	3131.121056	1.2088
