Implementation	Graph	Nodes	Edges	Trial	Time_sec	GTEPS
GPU_Opt	benchmark_7000_41459	7000	41459	1	0.316943	0.9157
GPU_Opt	benchmark_7000_41459	7000	41459	2	0.216640	1.3396
GPU_Opt	benchmark_7000_41459	7000	41459	3	0.224577	1.2923
GPU_Opt	benchmark_7000_41459	7000	41459	4	0.212687	1.3645
GPU_Opt	benchmark_7000_41459	7000	41459	5	0.212216	1.3675
GPU_Opt	benchmark_7000_41459	7000	41459	6	0.225401	1.2875
GPU_Opt	benchmark_7000_41459	7000	41459	7	0.216094	1.3430
GPU_Opt	benchmark_7000_41459	7000	41459	8	0.231613	1.2530
GPU_Opt	benchmark_7000_41459	7000	41459	9	0.214748	1.3514
GPU_Opt	benchmark_7000_41459	7000	41459	10	0.225646	1.2861
GPU_Opt	benchmark_11023_62184	11023	62184	1	0.259674	2.6397
GPU_Opt	benchmark_11023_62184	11023	62184	2	0.251773	2.7225
GPU_Opt	benchmark_11023_62184	11023	62184	3	0.260786	2.6284
GPU_Opt	benchmark_11023_62184	11023	62184	4	0.259117	2.6453
GPU_Opt	benchmark_11023_62184	11023	62184	5	0.264535	2.5912
GPU_Opt	benchmark_11023_62184	11023	62184	6	0.266272	2.5743
GPU_Opt	benchmark_11023_62184	11023	62184	7	0.265806	2.5788
GPU_Opt	benchmark_11023_62184	11023	62184	8	0.251999	2.7201
GPU_Opt	benchmark_11023_62184	11023	62184	9	0.257153	2.6655
GPU_Opt	benchmark_11023_62184	11023	62184	10	0.257738	2.6595
GPU_Opt	random	32212	101805	1	0.918814	3.5691
GPU_Opt	random	32212	101805	2	0.913814	3.5886
GPU_Opt	random	32212	101805	3	0.908471	3.6097
GPU_Opt	random	32212	101805	4	0.899590	3.6454
GPU_Opt	random	32212	101805	5	0.907327	3.6143
GPU_Opt	random	32212	101805	6	0.909823	3.6044
GPU_Opt	random	32212	101805	7	0.903759	3.6286
GPU_Opt	random	32212	101805	8	0.915095	3.5836
GPU_Opt	random	32212	101805	9	0.915218	3.5831
GPU_Opt	random	32212	101805	10	0.908829	3.6083
GPU_Opt	56438_300801	56438	300801	1	2.001136	8.4835
GPU_Opt	56438_300801	56438	300801	2	2.015724	8.4221
GPU_Opt	56438_300801	56438	300801	3	2.018950	8.4086
GPU_Opt	56438_300801	56438	300801	4	2.046912	8.2938
GPU_Opt	56438_300801	56438	300801	5	2.004220	8.4704
GPU_Opt	56438_300801	56438	300801	6	2.011896	8.4381
GPU_Opt	56438_300801	56438	300801	7	2.007605	8.4561
GPU_Opt	56438_300801	56438	300801	8	2.001868	8.4804
GPU_Opt	56438_300801	56438	300801	9	2.010399	8.4444
GPU_Opt	56438_300801	56438	300801	10	2.007888	8.4550
GPU_Opt_Pure_Chunked	benchmark_7000_41459	7000	41459	1	0.225738	1.2856
GPU_Opt_Pure_Chunked	benchmark_7000_41459	7000	41459	2	0.227741	1.2743
GPU_Opt_Pure_Chunked	benchmark_7000_41459	7000	41459	3	0.208241	1.3936
GPU_Opt_Pure_Chunked	benchmark_7000_41459	7000	41459	4	0.223752	1.2970
GPU_Opt_Pure_Chunked	benchmark_7000_41459	7000	41459	5	0.208686	1.3907
GPU_Opt_Pure_Chunked	benchmark_7000_41459	7000	41459	6	0.227429	1.2761
