Implementation	Graph	MaxBC_Index	MaxBC_Value
Sequential	benchmark_7000_41459	4	3935437.26
Sequential	benchmark_7000_41459	4	3935437.26
Sequential	benchmark_7000_41459	4	3935437.26
Sequential	benchmark_7000_41459	4	3935437.26
Sequential	benchmark_7000_41459	4	3935437.26
Sequential	benchmark_7000_41459	4	3935437.26
Sequential	benchmark_7000_41459	4	3935437.26
Sequential	benchmark_7000_41459	4	3935437.26
Sequential	benchmark_7000_41459	4	3935437.26
Sequential	benchmark_7000_41459	4	3935437.26
Sequential	benchmark_11023_62184	10	11951000.93
Sequential	benchmark_11023_62184	10	11951000.93
Sequential	benchmark_11023_62184	10	11951000.93
Sequential	benchmark_11023_62184	10	11951000.93
Sequential	benchmark_11023_62184	10	11951000.93
Sequential	benchmark_11023_62184	10	11951000.93
Sequential	benchmark_11023_62184	10	11951000.93
Sequential	benchmark_11023_62184	10	11951000.93
Sequential	benchmark_11023_62184	10	11951000.93
Sequential	benchmark_11023_62184	10	11951000.93
Sequential	random	15869	4029653.52
Sequential	random	15869	4029653.52
Sequential	random	15869	4029653.52
Sequential	random	15869	4029653.52
Sequential	random	15869	4029653.52
Sequential	random	15869	4029653.52
Sequential	random	15869	4029653.52
Sequential	random	15869	4029653.52
Sequential	random	15869	4029653.52
Sequential	random	15869	4029653.52
OpenMP	benchmark_7000_41459	4	3935437.26
OpenMP	benchmark_7000_41459	4	3935437.26
OpenMP	benchmark_7000_41459	4	3935437.26
OpenMP	benchmark_7000_41459	4	3935437.26
OpenMP	benchmark_7000_41459	4	3935437.26
OpenMP	benchmark_7000_41459	4	3935437.26
OpenMP	benchmark_7000_41459	4	3935437.26
OpenMP	benchmark_7000_41459	4	3935437.26
OpenMP	benchmark_7000_41459	4	3935437.26
OpenMP	benchmark_7000_41459	4	3935437.26
OpenMP	benchmark_11023_62184	10	11951000.93
OpenMP	benchmark_11023_62184	10	11951000.93
OpenMP	benchmark_11023_62184	10	11951000.93
OpenMP	benchmark_11023_62184	10	11951000.93
OpenMP	benchmark_11023_62184	10	11951000.93
OpenMP	benchmark_11023_62184	10	11951000.93
OpenMP	benchmark_11023_62184	10	11951000.93
OpenMP	benchmark_11023_62184	10	11951000.93
OpenMP	benchmark_11023_62184	10	11951000.93
OpenMP	benchmark_11023_62184	10	11951000.93
OpenMP	random	15869	4029653.52
OpenMP	random	15869	4029653.52
OpenMP	random	15869	4029653.52
OpenMP	random	15869	4029653.52
OpenMP	random	15869	4029653.52
OpenMP	random	15869	4029653.52
OpenMP	random	15869	4029653.52
OpenMP	random	15869	4029653.52
OpenMP	random	15869	4029653.52
OpenMP	random	15869	4029653.52
OpenMP	56438_300801	25329	6696305.50
OpenMP	56438_300801	25329	6696305.50
OpenMP	56438_300801	25329	6696305.50
OpenMP	56438_300801	25329	6696305.50
OpenMP	56438_300801	25329	6696305.50
OpenMP	56438_300801	25329	6696305.50
OpenMP	56438_300801	25329	6696305.50
OpenMP	56438_300801	25329	6696305.50
OpenMP	56438_300801	25329	6696305.50
OpenMP	56438_300801	25329	6696305.50
cuGraph_BC	benchmark_7000_41459	4	3935437.26
cuGraph_BC	benchmark_7000_41459	4	3935437.26
cuGraph_BC	benchmark_7000_41459	4	3935437.26
cuGraph_BC	benchmark_7000_41459	4	3935437.26
cuGraph_BC	benchmark_7000_41459	4	3935437.26
cuGraph_BC	benchmark_7000_41459	4	3935437.26
cuGraph_BC	benchmark_7000_41459	4	3935437.26
cuGraph_BC	benchmark_7000_41459	4	3935437.26
cuGraph_BC	benchmark_7000_41459	4	3935437.26
cuGraph_BC	benchmark_7000_41459	4	3935437.26
cuGraph_BC	benchmark_11023_62184	10	11951000.93
cuGraph_BC	benchmark_11023_62184	11	11951000.93
cuGraph_BC	benchmark_11023_62184	11	11951000.93
cuGraph_BC	benchmark_11023_62184	10	11951000.93
cuGraph_BC	benchmark_11023_62184	10	11951000.93
cuGraph_BC	benchmark_11023_62184	11	11951000.93
cuGraph_BC	benchmark_11023_62184	11	11951000.93
cuGraph_BC	benchmark_11023_62184	11	11951000.93
cuGraph_BC	benchmark_11023_62184	10	11951000.93
cuGraph_BC	benchmark_11023_62184	11	11951000.93
cuGraph_BC	random	15869	4029653.52
cuGraph_BC	random	15869	4029653.52
cuGraph_BC	random	15869	4029653.52
cuGraph_BC	random	15869	4029653.52
cuGraph_BC	random	15869	4029653.52
cuGraph_BC	random	15869	4029653.52
cuGraph_BC	random	15869	4029653.52
cuGraph_BC	random	15869	4029653.52
cuGraph_BC	random	15869	4029653.52
cuGraph_BC	random	15869	4029653.52
cuGraph_BC	56438_300801	25329	6696212.00
cuGraph_BC	56438_300801	25329	6696212.00
cuGraph_BC	56438_300801	25329	6696286.88
cuGraph_BC	56438_300801	25329	6696254.12
cuGraph_BC	56438_300801	25329	6696254.12
cuGraph_BC	56438_300801	25329	6696186.07
cuGraph_BC	56438_300801	25329	6696186.07
cuGraph_BC	56438_300801	25329	6696282.94
cuGraph_BC	56438_300801	25329	6696282.94
cuGraph_BC	56438_300801	25329	6696282.94
GPU_Opt_Pure	benchmark_7000_41459	4	3935437.26
GPU_Opt_Pure	benchmark_7000_41459	4	3935437.26
GPU_Opt_Pure	benchmark_7000_41459	4	3935437.26
GPU_Opt_Pure	benchmark_7000_41459	4	3935437.26
GPU_Opt_Pure	benchmark_7000_41459	4	3935437.26
GPU_Opt_Pure	benchmark_7000_41459	4	3935437.26
GPU_Opt_Pure	benchmark_7000_41459	4	3935437.26
GPU_Opt_Pure	benchmark_7000_41459	4	3935437.26
GPU_Opt_Pure	benchmark_7000_41459	4	3935437.26
GPU_Opt_Pure	benchmark_7000_41459	4	3935437.26
GPU_Opt_Pure	benchmark_11023_62184	10	11951000.93
GPU_Opt_Pure	benchmark_11023_62184	10	11951000.93
GPU_Opt_Pure	benchmark_11023_62184	10	11951000.93
GPU_Opt_Pure	benchmark_11023_62184	10	11951000.93
GPU_Opt_Pure	benchmark_11023_62184	10	11951000.93
GPU_Opt_Pure	benchmark_11023_62184	10	11951000.93
GPU_Opt_Pure	benchmark_11023_62184	10	11951000.93
GPU_Opt_Pure	benchmark_11023_62184	10	11951000.93
GPU_Opt_Pure	benchmark_11023_62184	10	11951000.93
GPU_Opt_Pure	benchmark_11023_62184	10	11951000.93
GPU_Opt_Pure	random	15869	4029653.52
GPU_Opt_Pure	random	15869	4029653.52
GPU_Opt_Pure	random	15869	4029653.52
GPU_Opt_Pure	random	15869	4029653.52
GPU_Opt_Pure	random	15869	4029653.52
GPU_Opt_Pure	random	15869	4029653.52
GPU_Opt_Pure	random	15869	4029653.52
GPU_Opt_Pure	random	15869	4029653.52
GPU_Opt_Pure	random	15869	4029653.52
GPU_Opt_Pure	random	15869	4029653.52
