Implementation	Graph	Nodes	Edges	Trial	Time_sec	GTEPS
Sequential	benchmark_7000_41459	7000	41459	1	5.641473	0.0514
Sequential	benchmark_7000_41459	7000	41459	2	5.563351	0.0522
Sequential	benchmark_7000_41459	7000	41459	3	5.677999	0.0511
Sequential	benchmark_7000_41459	7000	41459	4	5.647623	0.0514
Sequential	benchmark_7000_41459	7000	41459	5	5.646354	0.0514
Sequential	benchmark_7000_41459	7000	41459	6	5.652346	0.0513
Sequential	benchmark_7000_41459	7000	41459	7	5.633038	0.0515
Sequential	benchmark_7000_41459	7000	41459	8	5.592850	0.0519
Sequential	benchmark_7000_41459	7000	41459	9	5.546694	0.0523
Sequential	benchmark_7000_41459	7000	41459	10	5.730182	0.0506
Sequential	benchmark_11023_62184	11023	62184	1	11.480909	0.0597
Sequential	benchmark_11023_62184	11023	62184	2	11.252650	0.0609
Sequential	benchmark_11023_62184	11023	62184	3	11.457562	0.0598
Sequential	benchmark_11023_62184	11023	62184	4	11.347654	0.0604
Sequential	benchmark_11023_62184	11023	62184	5	11.311188	0.0606
Sequential	benchmark_11023_62184	11023	62184	6	11.494172	0.0596
Sequential	benchmark_11023_62184	11023	62184	7	11.416668	0.0600
Sequential	benchmark_11023_62184	11023	62184	8	11.433919	0.0599
Sequential	benchmark_11023_62184	11023	62184	9	11.372624	0.0603
Sequential	benchmark_11023_62184	11023	62184	10	11.341782	0.0604
Sequential	random	32212	101805	1	174.760691	0.0188
Sequential	random	32212	101805	2	174.056760	0.0188
Sequential	random	32212	101805	3	169.267074	0.0194
Sequential	random	32212	101805	4	170.732521	0.0192
Sequential	random	32212	101805	5	166.094956	0.0197
Sequential	random	32212	101805	6	172.459463	0.0190
Sequential	random	32212	101805	7	170.453310	0.0192
Sequential	random	32212	101805	8	173.356856	0.0189
Sequential	random	32212	101805	9	169.449026	0.0194
Sequential	random	32212	101805	10	171.104685	0.0192
OpenMP	benchmark_7000_41459	7000	41459	1	0.102881	2.8209
OpenMP	benchmark_7000_41459	7000	41459	2	0.101501	2.8592
OpenMP	benchmark_7000_41459	7000	41459	3	0.101546	2.8579
OpenMP	benchmark_7000_41459	7000	41459	4	0.100894	2.8764
OpenMP	benchmark_7000_41459	7000	41459	5	0.101164	2.8687
OpenMP	benchmark_7000_41459	7000	41459	6	0.101645	2.8552
OpenMP	benchmark_7000_41459	7000	41459	7	0.101021	2.8728
OpenMP	benchmark_7000_41459	7000	41459	8	0.102016	2.8448
OpenMP	benchmark_7000_41459	7000	41459	9	0.101903	2.8479
OpenMP	benchmark_7000_41459	7000	41459	10	0.101770	2.8517
OpenMP	benchmark_11023_62184	11023	62184	1	0.150392	4.5578
OpenMP	benchmark_11023_62184	11023	62184	2	0.213851	3.2053
OpenMP	benchmark_11023_62184	11023	62184	3	0.150902	4.5424
OpenMP	benchmark_11023_62184	11023	62184	4	0.150691	4.5487
OpenMP	benchmark_11023_62184	11023	62184	5	0.151201	4.5334
OpenMP	benchmark_11023_62184	11023	62184	6	0.152842	4.4847
OpenMP	benchmark_11023_62184	11023	62184	7	0.155339	4.4126
OpenMP	benchmark_11023_62184	11023	62184	8	0.153451	4.4669
OpenMP	benchmark_11023_62184	11023	62184	9	0.153479	4.4661
OpenMP	benchmark_11023_62184	11023	62184	10	0.150303	4.5605
OpenMP	random	32212	101805	1	3.334751	0.9834
OpenMP	random	32212	101805	2	3.316996	0.9886
OpenMP	random	32212	101805	3	3.386507	0.9684
OpenMP	random	32212	101805	4	3.421551	0.9584
OpenMP	random	32212	101805	5	3.351302	0.9785
OpenMP	random	32212	101805	6	3.355838	0.9772
OpenMP	random	32212	101805	7	3.377402	0.9710
OpenMP	random	32212	101805	8	3.356274	0.9771
OpenMP	random	32212	101805	9	3.335449	0.9832
OpenMP	random	32212	101805	10	3.361366	0.9756
OpenMP	56438_300801	56438	300801	1	13.440007	1.2631
OpenMP	56438_300801	56438	300801	2	13.315412	1.2750
OpenMP	56438_300801	56438	300801	3	13.278524	1.2785
OpenMP	56438_300801	56438	300801	4	13.352042	1.2715
OpenMP	56438_300801	56438	300801	5	13.386251	1.2682
OpenMP	56438_300801	56438	300801	6	13.090079	1.2969
OpenMP	56438_300801	56438	300801	7	13.296811	1.2767
OpenMP	56438_300801	56438	300801	8	13.391017	1.2678
OpenMP	56438_300801	56438	300801	9	13.374188	1.2694
OpenMP	56438_300801	56438	300801	10	13.615552	1.2469
cuGraph_BC	benchmark_7000_41459	7000	41459	1	1.078828	0.2690
cuGraph_BC	benchmark_7000_41459	7000	41459	2	1.095019	0.2650
cuGraph_BC	benchmark_7000_41459	7000	41459	3	1.134922	0.2557
cuGraph_BC	benchmark_7000_41459	7000	41459	4	1.099292	0.2640
cuGraph_BC	benchmark_7000_41459	7000	41459	5	1.166856	0.2487
cuGraph_BC	benchmark_7000_41459	7000	41459	6	1.132886	0.2562
cuGraph_BC	benchmark_7000_41459	7000	41459	7	1.189555	0.2440
cuGraph_BC	benchmark_7000_41459	7000	41459	8	1.089762	0.2663
cuGraph_BC	benchmark_7000_41459	7000	41459	9	1.091453	0.2659
cuGraph_BC	benchmark_7000_41459	7000	41459	10	1.099165	0.2640
cuGraph_BC	benchmark_11023_62184	11023	62184	1	2.935675	0.2335
cuGraph_BC	benchmark_11023_62184	11023	62184	2	2.727912	0.2513
cuGraph_BC	benchmark_11023_62184	11023	62184	3	2.841009	0.2413
cuGraph_BC	benchmark_11023_62184	11023	62184	4	2.776031	0.2469
cuGraph_BC	benchmark_11023_62184	11023	62184	5	2.867076	0.2391
cuGraph_BC	benchmark_11023_62184	11023	62184	6	2.718264	0.2522
cuGraph_BC	benchmark_11023_62184	11023	62184	7	2.749099	0.2493
cuGraph_BC	benchmark_11023_62184	11023	62184	8	2.925982	0.2343
cuGraph_BC	benchmark_11023_62184	11023	62184	9	2.791140	0.2456
cuGraph_BC	benchmark_11023_62184	11023	62184	10	2.762146	0.2482
cuGraph_BC	random	32212	101805	1	16.871121	0.1944
cuGraph_BC	random	32212	101805	2	17.512199	0.1873
cuGraph_BC	random	32212	101805	3	17.887185	0.1833
cuGraph_BC	random	32212	101805	4	16.799376	0.1952
cuGraph_BC	random	32212	101805	5	16.652607	0.1969
cuGraph_BC	random	32212	101805	6	17.221545	0.1904
cuGraph_BC	random	32212	101805	7	17.714791	0.1851
cuGraph_BC	random	32212	101805	8	17.303086	0.1895
cuGraph_BC	random	32212	101805	9	16.834077	0.1948
cuGraph_BC	random	32212	101805	10	17.528864	0.1871
cuGraph_BC	56438_300801	56438	300801	1	73.004549	0.2325
cuGraph_BC	56438_300801	56438	300801	2	70.385442	0.2412
cuGraph_BC	56438_300801	56438	300801	3	69.645688	0.2438
cuGraph_BC	56438_300801	56438	300801	4	72.519543	0.2341
cuGraph_BC	56438_300801	56438	300801	5	72.669095	0.2336
cuGraph_BC	56438_300801	56438	300801	6	72.633581	0.2337
cuGraph_BC	56438_300801	56438	300801	7	72.096616	0.2355
cuGraph_BC	56438_300801	56438	300801	8	72.578019	0.2339
cuGraph_BC	56438_300801	56438	300801	9	69.820698	0.2431
cuGraph_BC	56438_300801	56438	300801	10	73.193176	0.2319
GPU_Opt_Pure	benchmark_7000_41459	7000	41459	1	0.232126	1.2502
GPU_Opt_Pure	benchmark_7000_41459	7000	41459	2	0.212204	1.3676
GPU_Opt_Pure	benchmark_7000_41459	7000	41459	3	0.219121	1.3244
GPU_Opt_Pure	benchmark_7000_41459	7000	41459	4	0.207344	1.3997
GPU_Opt_Pure	benchmark_7000_41459	7000	41459	5	0.245796	1.1807
GPU_Opt_Pure	benchmark_7000_41459	7000	41459	6	0.203373	1.4270
GPU_Opt_Pure	benchmark_7000_41459	7000	41459	7	0.224714	1.2915
GPU_Opt_Pure	benchmark_7000_41459	7000	41459	8	0.206181	1.4076
GPU_Opt_Pure	benchmark_7000_41459	7000	41459	9	0.217012	1.3373
GPU_Opt_Pure	benchmark_7000_41459	7000	41459	10	0.228922	1.2677
GPU_Opt_Pure	benchmark_11023_62184	11023	62184	1	0.249593	2.7463
GPU_Opt_Pure	benchmark_11023_62184	11023	62184	2	0.248837	2.7546
GPU_Opt_Pure	benchmark_11023_62184	11023	62184	3	0.242112	2.8311
GPU_Opt_Pure	benchmark_11023_62184	11023	62184	4	0.244076	2.8084
GPU_Opt_Pure	benchmark_11023_62184	11023	62184	5	0.250755	2.7336
GPU_Opt_Pure	benchmark_11023_62184	11023	62184	6	0.245985	2.7866
GPU_Opt_Pure	benchmark_11023_62184	11023	62184	7	0.236842	2.8941
GPU_Opt_Pure	benchmark_11023_62184	11023	62184	8	0.248115	2.7626
GPU_Opt_Pure	benchmark_11023_62184	11023	62184	9	0.248188	2.7618
GPU_Opt_Pure	benchmark_11023_62184	11023	62184	10	0.235916	2.9055
GPU_Opt_Pure	random	32212	101805	1	0.895765	3.6609
GPU_Opt_Pure	random	32212	101805	2	0.892900	3.6727
GPU_Opt_Pure	random	32212	101805	3	0.897957	3.6520
GPU_Opt_Pure	random	32212	101805	4	0.905676	3.6209
GPU_Opt_Pure	random	32212	101805	5	0.897423	3.6542
GPU_Opt_Pure	random	32212	101805	6	0.910679	3.6010
GPU_Opt_Pure	random	32212	101805	7	0.902019	3.6356
GPU_Opt_Pure	random	32212	101805	8	0.900368	3.6422
GPU_Opt_Pure	random	32212	101805	9	0.902590	3.6333
GPU_Opt_Pure	random	32212	101805	10	0.894427	3.6664
GPU_Opt_Pure	56438_300801	56438	300801	1	2.010590	8.4436
GPU_Opt_Pure	56438_300801	56438	300801	2	2.015324	8.4238
GPU_Opt_Pure	56438_300801	56438	300801	3	2.010821	8.4426
GPU_Opt_Pure	56438_300801	56438	300801	4	2.010453	8.4442
GPU_Opt_Pure	56438_300801	56438	300801	5	2.034075	8.3461
GPU_Opt_Pure	56438_300801	56438	300801	6	2.030572	8.3605
GPU_Opt_Pure	56438_300801	56438	300801	7	2.012725	8.4346
GPU_Opt_Pure	56438_300801	56438	300801	8	2.019012	8.4084
GPU_Opt_Pure	56438_300801	56438	300801	9	2.016096	8.4205
GPU_Opt_Pure	56438_300801	56438	300801	10	2.017576	8.4144
PathMerge_BC	benchmark_7000_41459	7000	41459	1	0.445263	0.6518
PathMerge_BC	benchmark_7000_41459	7000	41459	2	0.397596	0.7299
PathMerge_BC	benchmark_7000_41459	7000	41459	3	0.418936	0.6927
PathMerge_BC	benchmark_7000_41459	7000	41459	4	0.393780	0.7370
PathMerge_BC	benchmark_7000_41459	7000	41459	5	0.421481	0.6886
PathMerge_BC	benchmark_7000_41459	7000	41459	6	0.395566	0.7337
PathMerge_BC	benchmark_7000_41459	7000	41459	7	0.417969	0.6943
PathMerge_BC	benchmark_7000_41459	7000	41459	8	0.394566	0.7355
PathMerge_BC	benchmark_7000_41459	7000	41459	9	0.418397	0.6936
PathMerge_BC	benchmark_7000_41459	7000	41459	10	0.395212	0.7343
PathMerge_BC	benchmark_11023_62184	11023	62184	1	0.999078	0.6861
PathMerge_BC	benchmark_11023_62184	11023	62184	2	1.044954	0.6560
PathMerge_BC	benchmark_11023_62184	11023	62184	3	0.983232	0.6971
PathMerge_BC	benchmark_11023_62184	11023	62184	4	1.039742	0.6593
PathMerge_BC	benchmark_11023_62184	11023	62184	5	0.996076	0.6882
PathMerge_BC	benchmark_11023_62184	11023	62184	6	1.032108	0.6641
PathMerge_BC	benchmark_11023_62184	11023	62184	7	0.988884	0.6932
PathMerge_BC	benchmark_11023_62184	11023	62184	8	1.035381	0.6620
PathMerge_BC	benchmark_11023_62184	11023	62184	9	0.991104	0.6916
PathMerge_BC	benchmark_11023_62184	11023	62184	10	1.043777	0.6567
PathMerge_BC	random	32212	101805	1	0.896768	3.6568
PathMerge_BC	random	32212	101805	2	0.896529	3.6578
PathMerge_BC	random	32212	101805	3	0.891022	3.6804
PathMerge_BC	random	32212	101805	4	0.890440	3.6828
PathMerge_BC	random	32212	101805	5	0.892868	3.6728
PathMerge_BC	random	32212	101805	6	0.907309	3.6144
PathMerge_BC	random	32212	101805	7	0.897407	3.6542
PathMerge_BC	random	32212	101805	8	0.898715	3.6489
PathMerge_BC	random	32212	101805	9	0.891664	3.6778
PathMerge_BC	random	32212	101805	10	0.893576	3.6699
PathMerge_BC	56438_300801	56438	300801	1	4.663547	3.6403
PathMerge_BC	56438_300801	56438	300801	2	4.622343	3.6727
PathMerge_BC	56438_300801	56438	300801	3	4.660956	3.6423
PathMerge_BC	56438_300801	56438	300801	4	4.627328	3.6688
PathMerge_BC	56438_300801	56438	300801	5	4.646956	3.6533
PathMerge_BC	56438_300801	56438	300801	6	4.631779	3.6652
PathMerge_BC	56438_300801	56438	300801	7	4.648931	3.6517
PathMerge_BC	56438_300801	56438	300801	8	4.640730	3.6582
PathMerge_BC	56438_300801	56438	300801	9	4.657437	3.6451
PathMerge_BC	56438_300801	56438	300801	10	4.644445	3.6552
