Implementation	BatchSize	Trial	Time_sec	GTEPS	Status
gpu_opt	512	1	76.712667	13.6489	SUCCESS
gpu_opt	512	2	76.872453	13.6205	SUCCESS
gpu_opt	512	3	76.885588	13.6182	SUCCESS
gpu_opt	512	4	76.690964	13.6527	SUCCESS
gpu_opt	512	5	76.869187	13.6211	SUCCESS
gpu_opt	1024	1	66.369268	15.7760	SUCCESS
gpu_opt	1024	2	66.382768	15.7728	SUCCESS
gpu_opt	1024	3	66.370263	15.7758	SUCCESS
gpu_opt	1024	4	66.388282	15.7715	SUCCESS
gpu_opt	1024	5	66.356056	15.7791	SUCCESS
gpu_opt	2048	1	66.821642	15.6692	SUCCESS
gpu_opt	2048	2	66.804690	15.6732	SUCCESS
gpu_opt	2048	3	66.838311	15.6653	SUCCESS
gpu_opt	2048	4	66.827485	15.6678	SUCCESS
gpu_opt	2048	5	66.826969	15.6679	SUCCESS
gpu_opt	4096	1	67.644773	15.4785	SUCCESS
gpu_opt	4096	2	67.641539	15.4793	SUCCESS
gpu_opt	4096	3	67.662175	15.4745	SUCCESS
gpu_opt	4096	4	67.666014	15.4737	SUCCESS
gpu_opt	4096	5	67.652155	15.4768	SUCCESS
gpu_opt	8192	1	109.841713	9.5323	SUCCESS
gpu_opt	8192	2	109.572345	9.5557	SUCCESS
gpu_opt	8192	3	109.795508	9.5363	SUCCESS
gpu_opt	8192	4	109.888739	9.5282	SUCCESS
gpu_opt	8192	5	109.819164	9.5342	SUCCESS
gpu_opt	10240	1	324.215055	3.2295	SUCCESS
gpu_opt	10240	2	298.516956	3.5075	SUCCESS
gpu_opt	10240	3	310.543986	3.3716	SUCCESS
gpu_opt	10240	4	326.772651	3.2042	SUCCESS
gpu_opt	10240	5	324.978607	3.2219	SUCCESS
gpu_opt	12288	1	0	0	OOM_OR_FAIL
