Implementation	BatchSize	Trial	Time_sec	GTEPS	Status
gpu_opt_pure_chunked	512	1	77.873676	13.4454	SUCCESS
gpu_opt_pure_chunked	512	2	77.884006	13.4436	SUCCESS
gpu_opt_pure_chunked	512	3	78.057491	13.4137	SUCCESS
gpu_opt_pure_chunked	512	4	77.724864	13.4711	SUCCESS
gpu_opt_pure_chunked	512	5	77.787930	13.4602	SUCCESS
gpu_opt_pure_chunked	1024	1	67.083858	15.6079	SUCCESS
gpu_opt_pure_chunked	1024	2	67.106789	15.6026	SUCCESS
gpu_opt_pure_chunked	1024	3	67.089539	15.6066	SUCCESS
gpu_opt_pure_chunked	1024	4	67.097819	15.6047	SUCCESS
gpu_opt_pure_chunked	1024	5	67.075393	15.6099	SUCCESS
gpu_opt_pure_chunked	2048	1	67.620908	15.4840	SUCCESS
gpu_opt_pure_chunked	2048	2	67.610083	15.4865	SUCCESS
gpu_opt_pure_chunked	2048	3	67.622075	15.4837	SUCCESS
gpu_opt_pure_chunked	2048	4	67.630113	15.4819	SUCCESS
gpu_opt_pure_chunked	2048	5	67.631898	15.4815	SUCCESS
gpu_opt_pure_chunked	4096	1	68.299354	15.3302	SUCCESS
gpu_opt_pure_chunked	4096	2	68.304139	15.3291	SUCCESS
gpu_opt_pure_chunked	4096	3	68.291505	15.3319	SUCCESS
gpu_opt_pure_chunked	4096	4	68.301362	15.3297	SUCCESS
gpu_opt_pure_chunked	4096	5	68.302819	15.3294	SUCCESS
gpu_opt_pure_chunked	8192	1	70.632748	14.8237	SUCCESS
gpu_opt_pure_chunked	8192	2	70.702463	14.8091	SUCCESS
gpu_opt_pure_chunked	8192	3	70.652637	14.8196	SUCCESS
gpu_opt_pure_chunked	8192	4	70.623329	14.8257	SUCCESS
gpu_opt_pure_chunked	8192	5	70.675384	14.8148	SUCCESS
gpu_opt_pure_chunked	10240	1	69.135375	15.1448	SUCCESS
gpu_opt_pure_chunked	10240	2	69.125001	15.1471	SUCCESS
gpu_opt_pure_chunked	10240	3	69.126486	15.1467	SUCCESS
gpu_opt_pure_chunked	10240	4	69.165982	15.1381	SUCCESS
gpu_opt_pure_chunked	10240	5	69.180098	15.1350	SUCCESS
gpu_opt_pure_chunked	12288	1	68.552755	15.2735	SUCCESS
gpu_opt_pure_chunked	12288	2	68.553223	15.2734	SUCCESS
gpu_opt_pure_chunked	12288	3	68.553250	15.2734	SUCCESS
gpu_opt_pure_chunked	12288	4	68.594346	15.2642	SUCCESS
gpu_opt_pure_chunked	12288	5	68.562413	15.2714	SUCCESS
gpu_opt_pure_chunked	16384	1	69.322278	15.1040	SUCCESS
gpu_opt_pure_chunked	16384	2	69.326938	15.1029	SUCCESS
gpu_opt_pure_chunked	16384	3	69.318197	15.1048	SUCCESS
gpu_opt_pure_chunked	16384	4	69.314921	15.1056	SUCCESS
gpu_opt_pure_chunked	16384	5	69.351465	15.0976	SUCCESS
