Config	Graph	Trial	Time_sec	GTEPS
PathMerge_b32	325557_3216152	1	1292.211744	0.8103
PathMerge_b32	325557_3216152	2	1292.320377	0.8102
PathMerge_b64	325557_3216152	1	770.822531	1.3583
PathMerge_b256	325557_3216152	1	324.266406	3.2290
PathMerge_b512	325557_3216152	1	240.241917	4.3583
PathMerge_b512	325557_3216152	2	240.304285	4.3571
PathMerge_b512	325557_3216152	3	240.068205	4.3614
PathMerge_b512	325557_3216152	4	239.368826	4.3742
PathMerge_b1024	325557_3216152	1	194.879643	5.3728
PathMerge_b1024	325557_3216152	2	195.154679	5.3652
PathMerge_b1024	325557_3216152	3	196.762783	5.3213
PathMerge_b2048	325557_3216152	1	174.291804	6.0074
PathMerge_b2048	325557_3216152	2	175.430535	5.9684
PathMerge_b2048	325557_3216152	3	176.324096	5.9382
PathMerge_b4096	325557_3216152	1	169.270083	6.1856
PathMerge_b4096	325557_3216152	2	167.574471	6.2482
PathMerge_b4096	325557_3216152	3	167.408767	6.2544
PathMerge_b8192	325557_3216152	1	168.716513	6.2059
PathMerge_b8192	325557_3216152	2	168.130241	6.2276
PathMerge_b8192	325557_3216152	3	168.266215	6.2225
