ArtifactID	ArtifactPath	ArtifactSHA256	CanonicalInputPaths	CorrectedGraphSHA256	CheckpointSHA	PBSJobID	GenerationCommand	MixedCheckpoint	MemoryFailureClass	CorrectnessTolerance	Limitation
T3	result/tables/thesis/T3_ablation_summary.md	ae9dfdbf92fc49de8a8b9ae5fa3886365c909c52904c18a35393096bc02f9856	raw_data/corrected_325557/job_2406254/ablation_results.tsv;raw_data/ablation/synthetic/job_2354994_20260710/ablation_results.tsv;result/ablation/corrected_325557/ablation_contributions.tsv;result/ablation/corrected_325557/synthetic4_aggregate.tsv	8373244f209a3ee489fe72a7b237a5639d142e3a10ac451a2c81b09194eeaa22	45352a344aaac463283a647467b790be9b45bfb8	2406254	python3 scripts/generate_thesis_artifacts.py	Yes	not_applicable	not_applicable	4 synthetic graphs; per-graph and aggregate distinct; warm-up excluded from 40 formal rows
T3	result/tables/thesis/T3_ablation_summary.tsv	ec87d1275f37c46215cd204bbb85b0d967a44f349c8a5be5980f24981cf09bdb	raw_data/corrected_325557/job_2406254/ablation_results.tsv;raw_data/ablation/synthetic/job_2354994_20260710/ablation_results.tsv;result/ablation/corrected_325557/ablation_contributions.tsv;result/ablation/corrected_325557/synthetic4_aggregate.tsv	8373244f209a3ee489fe72a7b237a5639d142e3a10ac451a2c81b09194eeaa22	45352a344aaac463283a647467b790be9b45bfb8	2406254	python3 scripts/generate_thesis_artifacts.py	Yes	not_applicable	not_applicable	4 synthetic graphs; per-graph and aggregate distinct; warm-up excluded from 40 formal rows
F4	result/figures/thesis/ablation_contributions.pdf	656be701dbfd4535f6656a373aa106d6fb2a21e5c7e26d45e747af0103512c30	raw_data/corrected_325557/job_2406254/ablation_results.tsv;raw_data/ablation/synthetic/job_2354994_20260710/ablation_results.tsv;result/ablation/corrected_325557/ablation_contributions.tsv;result/ablation/corrected_325557/synthetic4_aggregate.tsv	8373244f209a3ee489fe72a7b237a5639d142e3a10ac451a2c81b09194eeaa22	45352a344aaac463283a647467b790be9b45bfb8	2406254	python3 scripts/generate_thesis_artifacts.py	Yes	not_applicable	not_applicable	4 synthetic graphs; mixed-checkpoint aggregate; not generalized to roadNet
F4	result/figures/thesis/ablation_contributions.png	d04581dd84068bcc521523e472a217e740b98cbc91ced32db91669fc96999946	raw_data/corrected_325557/job_2406254/ablation_results.tsv;raw_data/ablation/synthetic/job_2354994_20260710/ablation_results.tsv;result/ablation/corrected_325557/ablation_contributions.tsv;result/ablation/corrected_325557/synthetic4_aggregate.tsv	8373244f209a3ee489fe72a7b237a5639d142e3a10ac451a2c81b09194eeaa22	45352a344aaac463283a647467b790be9b45bfb8	2406254	python3 scripts/generate_thesis_artifacts.py	Yes	not_applicable	not_applicable	4 synthetic graphs; mixed-checkpoint aggregate; not generalized to roadNet
F4	result/figures/thesis/ablation_contributions.svg	5692bba18a82133ff5d4108871ffc4137a68af576450b57ee5d5e5af000250d4	raw_data/corrected_325557/job_2406254/ablation_results.tsv;raw_data/ablation/synthetic/job_2354994_20260710/ablation_results.tsv;result/ablation/corrected_325557/ablation_contributions.tsv;result/ablation/corrected_325557/synthetic4_aggregate.tsv	8373244f209a3ee489fe72a7b237a5639d142e3a10ac451a2c81b09194eeaa22	45352a344aaac463283a647467b790be9b45bfb8	2406254	python3 scripts/generate_thesis_artifacts.py	Yes	not_applicable	not_applicable	4 synthetic graphs; mixed-checkpoint aggregate; not generalized to roadNet
T4	result/tables/thesis/T4_memory_scalability.md	4631098fd53e674d49d070178720a53eb5231a62f482e6ba3bcc9ebbce49ac2e	result/memory_scalability/corrected_325557/feasibility_boundary.tsv;raw_data/corrected_325557/job_2404743/feasibility_results.tsv;raw_data/corrected_325557/job_2404743/oom_evidence.tsv;raw_data/corrected_325557/job_2404743/pbs_stdout.log	8373244f209a3ee489fe72a7b237a5639d142e3a10ac451a2c81b09194eeaa22	45352a344aaac463283a647467b790be9b45bfb8	2404743	python3 scripts/generate_thesis_artifacts.py	No	CUDA OOM (device, exit 1) vs cgroup host-memory OOM kill (exit 137; runtime classifier none, post-hoc PBS epilogue kernel_oom_kill at raw_data/corrected_325557/job_2404743/pbs_stdout.log:146, evidence SHA256 3c4c46680f9432b94fef79ca9344027ad77195973d075b8019379f934feb8ec5, configuration UM b12288)	not_applicable	targeted boundary n=1; runtimes not a performance comparison; no unlimited-capacity claim
T4	result/tables/thesis/T4_memory_scalability.tsv	9932f232b39e99645f890874ab22282cb98ae8f3ccef038f967230a86585f94e	result/memory_scalability/corrected_325557/feasibility_boundary.tsv;raw_data/corrected_325557/job_2404743/feasibility_results.tsv;raw_data/corrected_325557/job_2404743/oom_evidence.tsv;raw_data/corrected_325557/job_2404743/pbs_stdout.log	8373244f209a3ee489fe72a7b237a5639d142e3a10ac451a2c81b09194eeaa22	45352a344aaac463283a647467b790be9b45bfb8	2404743	python3 scripts/generate_thesis_artifacts.py	No	CUDA OOM (device, exit 1) vs cgroup host-memory OOM kill (exit 137; runtime classifier none, post-hoc PBS epilogue kernel_oom_kill at raw_data/corrected_325557/job_2404743/pbs_stdout.log:146, evidence SHA256 3c4c46680f9432b94fef79ca9344027ad77195973d075b8019379f934feb8ec5, configuration UM b12288)	not_applicable	targeted boundary n=1; runtimes not a performance comparison; no unlimited-capacity claim
F5	result/figures/thesis/memory_scalability_325557.pdf	cbcc2d61d26b5e64ab3b73f098781ec3c2063415ff484466c84e65c3e37a9c7f	result/memory_scalability/corrected_325557/feasibility_boundary.tsv;raw_data/corrected_325557/job_2404743/feasibility_results.tsv;raw_data/corrected_325557/job_2404743/oom_evidence.tsv;raw_data/corrected_325557/job_2404743/pbs_stdout.log	8373244f209a3ee489fe72a7b237a5639d142e3a10ac451a2c81b09194eeaa22	45352a344aaac463283a647467b790be9b45bfb8	2404743	python3 scripts/generate_thesis_artifacts.py	No	CUDA OOM (device, exit 1) vs cgroup host-memory OOM kill (exit 137; runtime classifier none, post-hoc PBS epilogue kernel_oom_kill at raw_data/corrected_325557/job_2404743/pbs_stdout.log:146, evidence SHA256 3c4c46680f9432b94fef79ca9344027ad77195973d075b8019379f934feb8ec5, configuration UM b12288)	not_applicable	targeted boundary n=1; failures as markers not 0 s; points not connected; the figure shows the short failure class only, full evidence is recorded here
F5	result/figures/thesis/memory_scalability_325557.png	ec4ebe8e1efa4e2abda72ae57d4719f1facb9af7cb3c6eb184b5cd9653917f7b	result/memory_scalability/corrected_325557/feasibility_boundary.tsv;raw_data/corrected_325557/job_2404743/feasibility_results.tsv;raw_data/corrected_325557/job_2404743/oom_evidence.tsv;raw_data/corrected_325557/job_2404743/pbs_stdout.log	8373244f209a3ee489fe72a7b237a5639d142e3a10ac451a2c81b09194eeaa22	45352a344aaac463283a647467b790be9b45bfb8	2404743	python3 scripts/generate_thesis_artifacts.py	No	CUDA OOM (device, exit 1) vs cgroup host-memory OOM kill (exit 137; runtime classifier none, post-hoc PBS epilogue kernel_oom_kill at raw_data/corrected_325557/job_2404743/pbs_stdout.log:146, evidence SHA256 3c4c46680f9432b94fef79ca9344027ad77195973d075b8019379f934feb8ec5, configuration UM b12288)	not_applicable	targeted boundary n=1; failures as markers not 0 s; points not connected; the figure shows the short failure class only, full evidence is recorded here
F5	result/figures/thesis/memory_scalability_325557.svg	db35630341328c231712235dfb8636a7f7616c9edb78a5fb4c1840484c2fa9b8	result/memory_scalability/corrected_325557/feasibility_boundary.tsv;raw_data/corrected_325557/job_2404743/feasibility_results.tsv;raw_data/corrected_325557/job_2404743/oom_evidence.tsv;raw_data/corrected_325557/job_2404743/pbs_stdout.log	8373244f209a3ee489fe72a7b237a5639d142e3a10ac451a2c81b09194eeaa22	45352a344aaac463283a647467b790be9b45bfb8	2404743	python3 scripts/generate_thesis_artifacts.py	No	CUDA OOM (device, exit 1) vs cgroup host-memory OOM kill (exit 137; runtime classifier none, post-hoc PBS epilogue kernel_oom_kill at raw_data/corrected_325557/job_2404743/pbs_stdout.log:146, evidence SHA256 3c4c46680f9432b94fef79ca9344027ad77195973d075b8019379f934feb8ec5, configuration UM b12288)	not_applicable	targeted boundary n=1; failures as markers not 0 s; points not connected; the figure shows the short failure class only, full evidence is recorded here
