Graph	Factor	AddOne	LeaveOneOut	MainEffect	InteractionRel
benchmark_7000_41459	H	1.4912	1.6419	1.5357	0.0918
benchmark_7000_41459	W	1.1692	1.2267	1.1753	0.0469
benchmark_7000_41459	A	1.2651	1.2487	1.2335	0.0131
benchmark_11023_62184	H	1.8524	1.7017	1.7824	0.0886
benchmark_11023_62184	W	1.0173	0.9884	1.0067	0.0292
benchmark_11023_62184	A	1.6249	1.5194	1.5774	0.0694
56438_300801	H	1.9764	1.9567	1.9649	0.0101
56438_300801	W	1.0022	0.9827	0.9916	0.0199
56438_300801	A	1.2136	1.2643	1.2377	0.0401
325557_3216152	H	1.4157	1.3774	1.3952	0.0278
325557_3216152	W	1.0770	1.1164	1.0956	0.0352
325557_3216152	A	1.5730	1.5809	1.5756	0.0050
