checkpoint_sha	pbs_job_id	ComparisonClass	RequiredForCoreMemoryPath	comparison_subclass	label_a	label_b	a_valid	b_valid	comparison_exit	vector_length_a	vector_length_b	missing_a	missing_b	mismatched_elements	max_abs_error	max_abs_index	max_abs_a	max_abs_b	max_rel_error	max_rel_index	max_rel_a	max_rel_b	max_bc_a_index	max_bc_a_value	max_bc_b_index	max_bc_b_value	sha256_a	sha256_b	abs_tol	rel_tol	status
ac2b409c25c49c41608749afba8c7081871bfe45	2368587.opbs	CORE_MEMORY_PATH	yes	same_impl_diff_batch	gpu_opt_b9792	gpu_opt_b1024	yes	yes	3	325557	325557	0	0	6	5.486364e+00	289277	41284043.20934694	41284037.72298335	2.230184e-06	7954	224196.2897792182	224196.789779218	272817	39343001000.108543	272817	39343001000.108528	be8f52d32ac03cd495a08c5c6cd138fcdcec916a16830e62e7bc8d3c968d25c5	4a40a553a388ba2cb29d4ea366db979983fa398c55bb8a694882f260efd431cb	1e-3	1e-6	FAIL
ac2b409c25c49c41608749afba8c7081871bfe45	2368587.opbs	CORE_MEMORY_PATH	yes	same_impl_diff_batch	gpu_opt_pure_chunked_b16384	gpu_opt_pure_chunked_b1024	yes	yes	3	325557	325557	0	0	6	5.358586e+00	289277	41284043.08156917	41284037.72298333	2.847745e-06	95156	21947.12934601126	21947.19184601126	272817	39343001000.108582	272817	39343001000.108551	618ffdc4108f0c24a148bc1aa2a18b83d14b48319cd18438f89196b40930a86d	5ff0bef083dff51e0c6f15894912549dd5e28bb42e5eaabf626654edbf4627de	1e-3	1e-6	FAIL
ac2b409c25c49c41608749afba8c7081871bfe45	2368587.opbs	CORE_MEMORY_PATH	yes	same_batch_diff_path	gpu_opt_b1024	gpu_opt_pure_b1024	yes	yes	0	325557	325557	0	0	0	1.525879e-05	272817	39343001000.10853	39343001000.10854	3.015985e-14	260562	165977.6043583227	165977.6043583277	272817	39343001000.108528	272817	39343001000.108543	4a40a553a388ba2cb29d4ea366db979983fa398c55bb8a694882f260efd431cb	fc95255fe422693d5f7c8d80d39624015b3f9ad2020b54916f61358718439984	1e-3	1e-6	PASS
ac2b409c25c49c41608749afba8c7081871bfe45	2368587.opbs	CORE_MEMORY_PATH	yes	same_batch_diff_path	gpu_opt_b1024	gpu_opt_pure_chunked_b1024	yes	yes	0	325557	325557	0	0	0	2.288818e-05	272817	39343001000.10853	39343001000.10855	2.872713e-14	260128	167163.6789634187	167163.6789634139	272817	39343001000.108528	272817	39343001000.108551	4a40a553a388ba2cb29d4ea366db979983fa398c55bb8a694882f260efd431cb	5ff0bef083dff51e0c6f15894912549dd5e28bb42e5eaabf626654edbf4627de	1e-3	1e-6	PASS
ac2b409c25c49c41608749afba8c7081871bfe45	2368587.opbs	CORE_MEMORY_PATH	yes	same_batch_diff_path	gpu_opt_pure_b1024	gpu_opt_pure_chunked_b1024	yes	yes	0	325557	325557	0	0	0	7.629395e-06	272817	39343001000.10854	39343001000.10855	2.628983e-14	260184	167162.6866416153	167162.6866416197	272817	39343001000.108543	272817	39343001000.108551	fc95255fe422693d5f7c8d80d39624015b3f9ad2020b54916f61358718439984	5ff0bef083dff51e0c6f15894912549dd5e28bb42e5eaabf626654edbf4627de	1e-3	1e-6	PASS
ac2b409c25c49c41608749afba8c7081871bfe45	2368587.opbs	PATHMERGE_CROSS_IMPL_DIAGNOSTIC	no	pathmerge_cross	pathmerge_b4096	gpu_opt_b1024	yes	yes	3	325557	325557	0	0	11027	6.638161e+03	289444	8903157.975814406	8909796.137074383	2.000197e-03	325556	892937.5267641294	894727.1570761407	272817	39343001000.107368	272817	39343001000.108528	94e6379ac52e76025052ff98e97274a16b6467b57454d73c6d68aaa9eeeebd9d	4a40a553a388ba2cb29d4ea366db979983fa398c55bb8a694882f260efd431cb	1e-3	1e-6	FAIL
ac2b409c25c49c41608749afba8c7081871bfe45	2368587.opbs	PATHMERGE_CROSS_IMPL_DIAGNOSTIC	no	pathmerge_cross	pathmerge_b4096	gpu_opt_b9792	yes	yes	3	325557	325557	0	0	11030	6.643161e+03	289444	8903157.975814406	8909801.137074383	2.001870e-03	325556	892937.5267641294	894728.6570761406	272817	39343001000.107368	272817	39343001000.108543	94e6379ac52e76025052ff98e97274a16b6467b57454d73c6d68aaa9eeeebd9d	be8f52d32ac03cd495a08c5c6cd138fcdcec916a16830e62e7bc8d3c968d25c5	1e-3	1e-6	FAIL
ac2b409c25c49c41608749afba8c7081871bfe45	2368587.opbs	PATHMERGE_CROSS_IMPL_DIAGNOSTIC	no	pathmerge_cross	pathmerge_b4096	gpu_opt_pure_b1024	yes	yes	3	325557	325557	0	0	11027	6.638161e+03	289444	8903157.975814406	8909796.137074385	2.000197e-03	325556	892937.5267641294	894727.1570761405	272817	39343001000.107368	272817	39343001000.108543	94e6379ac52e76025052ff98e97274a16b6467b57454d73c6d68aaa9eeeebd9d	fc95255fe422693d5f7c8d80d39624015b3f9ad2020b54916f61358718439984	1e-3	1e-6	FAIL
ac2b409c25c49c41608749afba8c7081871bfe45	2368587.opbs	PATHMERGE_CROSS_IMPL_DIAGNOSTIC	no	pathmerge_cross	pathmerge_b4096	gpu_opt_pure_chunked_b1024	yes	yes	3	325557	325557	0	0	11027	6.638161e+03	289444	8903157.975814406	8909796.137074387	2.000197e-03	325556	892937.5267641294	894727.1570761407	272817	39343001000.107368	272817	39343001000.108551	94e6379ac52e76025052ff98e97274a16b6467b57454d73c6d68aaa9eeeebd9d	5ff0bef083dff51e0c6f15894912549dd5e28bb42e5eaabf626654edbf4627de	1e-3	1e-6	FAIL
ac2b409c25c49c41608749afba8c7081871bfe45	2368587.opbs	PATHMERGE_CROSS_IMPL_DIAGNOSTIC	no	pathmerge_cross	pathmerge_b4096	gpu_opt_pure_chunked_b16384	yes	yes	3	325557	325557	0	0	11028	6.643328e+03	289444	8903157.975814406	8909801.303741055	2.000754e-03	325556	892937.5267641294	894727.6570761404	272817	39343001000.107368	272817	39343001000.108582	94e6379ac52e76025052ff98e97274a16b6467b57454d73c6d68aaa9eeeebd9d	618ffdc4108f0c24a148bc1aa2a18b83d14b48319cd18438f89196b40930a86d	1e-3	1e-6	FAIL
