label_a	label_b	a_valid	b_valid	comparison_exit	vector_length_a	vector_length_b	missing_a	missing_b	mismatched_elements	max_abs_error	max_abs_index	max_abs_a	max_abs_b	max_rel_error	max_rel_index	sha256_a	sha256_b	abs_tol	rel_tol	status
CONTROL	old_b1024	yes	yes	0	325557	325557	0	0	0	1.525879e-05	272817	39343001000.10854	39343001000.10853	2.665289e-14	260562	e4458d31c904d904d1b3f4e0c21bf35ee279324e64b39444e8cd1b44585fdede	4a40a553a388ba2cb29d4ea366db979983fa398c55bb8a694882f260efd431cb	1e-3	1e-6	PASS
CONTROL	T-RESET	yes	yes	0	325557	325557	0	0	0	2.288818e-05	272817	39343001000.10854	39343001000.10852	4.249754e-14	325328	e4458d31c904d904d1b3f4e0c21bf35ee279324e64b39444e8cd1b44585fdede	95395d1c5cf4a0cd75af0a2ec078edb5770c3ac201fb6ecaca2118fc63b4ce28	1e-3	1e-6	PASS
CONTROL	T-NSEFF	yes	yes	0	325557	325557	0	0	0	9.155273e-05	272817	39343001000.10854	39343001000.10845	6.194050e-14	269414	e4458d31c904d904d1b3f4e0c21bf35ee279324e64b39444e8cd1b44585fdede	45edeb2c6b8dc65cbb98280f863407d146b2d2007d3f92b1668475713f759d35	1e-3	1e-6	PASS
T-RESET	T-NSEFF	yes	yes	0	325557	325557	0	0	0	6.866455e-05	272817	39343001000.10852	39343001000.10845	6.135431e-14	269414	95395d1c5cf4a0cd75af0a2ec078edb5770c3ac201fb6ecaca2118fc63b4ce28	45edeb2c6b8dc65cbb98280f863407d146b2d2007d3f92b1668475713f759d35	1e-3	1e-6	PASS
T-RESET	old_b1024	yes	yes	0	325557	325557	0	0	0	8.583069e-06	77617	7642710420.439617	7642710420.439626	4.321540e-14	325328	95395d1c5cf4a0cd75af0a2ec078edb5770c3ac201fb6ecaca2118fc63b4ce28	4a40a553a388ba2cb29d4ea366db979983fa398c55bb8a694882f260efd431cb	1e-3	1e-6	PASS
T-NSEFF	old_b1024	yes	yes	0	325557	325557	0	0	0	7.629395e-05	272817	39343001000.10845	39343001000.10853	6.252668e-14	269414	45edeb2c6b8dc65cbb98280f863407d146b2d2007d3f92b1668475713f759d35	4a40a553a388ba2cb29d4ea366db979983fa398c55bb8a694882f260efd431cb	1e-3	1e-6	PASS
CONTROL	old_b9792	yes	yes	3	325557	325557	0	0	6	5.486364e+00	289277	41284037.72298334	41284043.20934694	2.230184e-06	7954	e4458d31c904d904d1b3f4e0c21bf35ee279324e64b39444e8cd1b44585fdede	be8f52d32ac03cd495a08c5c6cd138fcdcec916a16830e62e7bc8d3c968d25c5	1e-3	1e-6	DIFF
T-RESET	old_b9792	yes	yes	3	325557	325557	0	0	6	5.486364e+00	289277	41284037.72298335	41284043.20934694	2.230184e-06	7954	95395d1c5cf4a0cd75af0a2ec078edb5770c3ac201fb6ecaca2118fc63b4ce28	be8f52d32ac03cd495a08c5c6cd138fcdcec916a16830e62e7bc8d3c968d25c5	1e-3	1e-6	DIFF
T-NSEFF	old_b9792	yes	yes	3	325557	325557	0	0	6	5.486364e+00	289277	41284037.72298337	41284043.20934694	2.230184e-06	7954	45edeb2c6b8dc65cbb98280f863407d146b2d2007d3f92b1668475713f759d35	be8f52d32ac03cd495a08c5c6cd138fcdcec916a16830e62e7bc8d3c968d25c5	1e-3	1e-6	DIFF
T-NSEFF	old_chunk_b16384	yes	yes	3	325557	325557	0	0	6	5.358586e+00	289277	41284037.72298337	41284043.08156917	2.847745e-06	95156	45edeb2c6b8dc65cbb98280f863407d146b2d2007d3f92b1668475713f759d35	618ffdc4108f0c24a148bc1aa2a18b83d14b48319cd18438f89196b40930a86d	1e-3	1e-6	DIFF
