Graph	Implementation	ExperimentType	SourceSnapshotID	PBSJobIDs	RequestedBatch	EffectiveBatch	SubBatch	NumSubs	Trials	Warmup	Aggregation	TimingScope	CodePath	CorrectnessLevel	SourceFiles	Status	UsedInThesis	MissingReason
benchmark_7000_41459;benchmark_11023_62184;chain_200	Sequential vs GPU_Opt	small_full_vector_correctness	small_correctness_20260712	2367583.opbs	512	512	512	1	1	none	not_applicable	correctness_only	sequential;gpu_opt(block)	full_vector_independent_reference	result/correctness/small_full_vector/	DONE	YES(correctness)	email/roadNet・Pure/Chunked・UM oversubscription固有経路は対象外; NS_eff=2
email-EuAll	GPU_Opt;GPU_Opt_Pure;GPU_Opt_Pure_Chunked	proposed_variants(block)	phase_def_block_20260710	2357334-2357337	512	512	512	1	5	none	median	full_BC(stdout Time_sec)	src/proposed/host_um.cu;host_pure.cu;host_chunked.cu	max_bc_only	result/main_performance/proposed_variants/email-EuAll/	DONE	YES(A)	独立参照full-vector未実施
roadNet-PA	GPU_Opt;GPU_Opt_Pure;GPU_Opt_Pure_Chunked	proposed_variants(block)	phase_def_block_20260710	2356120;2357334-2357337	512	512	512	1	3	none	median	full_BC	src/proposed/host_um.cu;host_pure.cu;host_chunked.cu	max_bc_only	result/main_performance/proposed_variants/roadNet-PA/	DONE	YES(A)	独立参照full-vector未実施
roadNet-TX	GPU_Opt;GPU_Opt_Pure;GPU_Opt_Pure_Chunked	proposed_variants(block)	phase_def_block_20260710	2356120;2357334-2357337	512	512	512	1	3	none	median	full_BC	src/proposed/host_um.cu;host_pure.cu;host_chunked.cu	max_bc_only	result/main_performance/proposed_variants/roadNet-TX/	DONE	YES(A)	独立参照full-vector未実施
roadNet-CA	GPU_Opt;GPU_Opt_Pure;GPU_Opt_Pure_Chunked	proposed_variants(block)	phase_def_block_20260710	2356120;2357334-2357337	512	512	512	1	3	none	median	full_BC	src/proposed/host_um.cu;host_pure.cu;host_chunked.cu	max_bc_only	result/main_performance/proposed_variants/roadNet-CA/	DONE	YES(A)	独立参照full-vector未実施
roadNet-PA	PathMerge_BC	pathmerge_sweep(tuned)	phase_def_block_20260710	2355000;2355001;2359080;2359169	b8-b512	b8-b512	not_applicable	not_applicable	1-4	none	median	full_BC	src/baseline/pathmerge.cu;galliot.cu	max_bc_only	result/tuning/pathmerge/roadNet-PA/	DONE	YES(A分母)	Tuned and default configurations both use b64; no distinct full-vector comparison artifact is available.
roadNet-TX	PathMerge_BC	pathmerge_sweep(tuned)	phase_def_block_20260710	2360072;2361040	b32-b128	b32-b128	not_applicable	not_applicable	1-3	none	median	full_BC	src/baseline/pathmerge.cu;galliot.cu	max_bc_only	result/tuning/pathmerge/roadNet-TX/	DONE	YES(A分母)	Tuned and default configurations both use b64; no distinct full-vector comparison artifact is available.
roadNet-CA	PathMerge_BC	pathmerge_sweep(tuned)	phase_def_block_20260710	2360073;2361041;2362006	b16-b128	b16-b128	not_applicable	not_applicable	1-3	none	median	full_BC	src/baseline/pathmerge.cu;galliot.cu	full_vector_same_implementation(b32 vs b64)	result/tuning/pathmerge/roadNet-CA/	DONE	YES(A分母)	email/CA の比較 vector 4本は currently_unavailable (original runtime path=build_miyabi/{t1_correctness,t1_ca_correctness}/bc_b*.txt; 台帳=EXTERNAL_ARTIFACTS.tsv); 比較summaryのみ保存, archive-time再解析なし; NaN/Inf/duplicate index=not_recorded
email-EuAll	PathMerge_BC	pathmerge_sweep(tuned)	phase_def_block_20260710	2355001;2359096	b8-b8192	b8-b8192	not_applicable	not_applicable	1-3	none	median	full_BC	src/baseline/pathmerge.cu;galliot.cu	full_vector_same_implementation(b64 vs b2048)	result/tuning/pathmerge/email-EuAll/	DONE	YES(A分母)	email/CA の比較 vector 4本は currently_unavailable (original runtime path=build_miyabi/{t1_correctness,t1_ca_correctness}/bc_b*.txt; 台帳=EXTERNAL_ARTIFACTS.tsv); 比較summaryのみ保存, archive-time再解析なし; NaN/Inf/duplicate index=not_recorded
325557_3216152	PathMerge_BC	pathmerge_sweep(tuned)	phase_def_block_20260710	2355000	b32-b8192	b32-b6018(b8192クランプ)	not_applicable	not_applicable	1-3	none	median	full_BC	src/baseline/pathmerge.cu;galliot.cu	none	result/tuning/pathmerge/325557/	DONE	参考	b8192実効6018(HBM3予算)
