graph	category	n	m	avg_deg	path	SHA256	SourceURL	DirectedOriginal	UsedAsDirected	Symmetrized	SelfLoopHandling	DupEdgeHandling	Preprocessing	ValidationStatus	ProvenanceStatus	UsedForNewExperiments	UsedForHistoricalExperiments	DoNotDelete	FileSizeBytes	FileSizeMB	FileSizeMiB	CSRBytes	BCVectorBytes
email-EuAll	実データ(ハブ有)	265009	364481	2.751	data/snap/email-EuAll	62799296e5a01b1a6ebd29c1b17702a2415d718991fbafd18e3a3fd8d0a52ece	https://snap.stanford.edu/data/email-EuAll.html	directed	undirected	yes	unknown	unknown	SNAP download + 無向化 (tools/download_snap_graphs.sh)	valid	external_snap_verifiable	yes	yes	no	5860687	5.86	5.59	3975888	2120072
roadNet-PA	道路網	1088092	1541898	2.834	data/snap/roadNet-PA	60bd70115d2c7e1ea74642e916666dc8d85e7ab85c0fd1b7dc6590617c4a5e28	https://snap.stanford.edu/data/roadNet-PA.html	undirected	undirected	no	unknown	unknown	SNAP download (tools/download_snap_graphs.sh)	valid	external_snap_verifiable	yes	yes	no	29814222	29.81	28.43	16687556	8704736
roadNet-TX	道路網	1379917	1921660	2.785	data/snap/roadNet-TX	9bf091d2936202302265fda6f573017ae816878df373c17cdd73a2eae796a969	https://snap.stanford.edu/data/roadNet-TX.html	undirected	undirected	no	unknown	unknown	SNAP download (tools/download_snap_graphs.sh)	valid	external_snap_verifiable	yes	yes	no	38301807	38.30	36.53	20892952	11039336
roadNet-CA	道路網	1965206	2766607	2.816	data/snap/roadNet-CA	daabf77ed106166937cacb5556a40149c0fffd0ebc641967781896e7301eac0a	https://snap.stanford.edu/data/roadNet-CA.html	undirected	undirected	no	unknown	unknown	SNAP download (tools/download_snap_graphs.sh)	valid	external_snap_verifiable	yes	yes	no	56444599	56.44	53.83	29993684	15721648
benchmark_85830	合成ベンチ	85830	241080	5.618	data/benchmark_85830.data	cb8884200f8099971c88bfdbc06ab8fc6133cd45fd7791091bffb985cabbbbd0	generated	unknown	undirected	unknown	unknown	unknown	tools/gen_graph.py 生成 (合成ベンチ)	valid	generator_consistent_seed_unavailable	yes	yes	no	3333461	3.33	3.18	2271964	686640
benchmark_7000	合成ベンチ	7000	41459	11.845	data/benchmark_7000_41459	4a891b4de4a0df86ef73c469f1e81b6206073e7368488e74f3ee2cec43b29ddc	generated	unknown	undirected	unknown	unknown	unknown	tools/gen_graph.py 生成 (合成ベンチ)	valid	generator_consistent_seed_unavailable	yes	yes	no	412762	0.41	0.39	359676	56000
benchmark_11023	合成ベンチ	11023	62184	11.283	data/benchmark_11023_62184	8d1df41c579de3150a155ee9cce321784723fdb1824c0a2a160d95004d4b6e31	generated	unknown	undirected	unknown	unknown	unknown	tools/gen_graph.py 生成 (合成ベンチ)	valid	generator_consistent_seed_unavailable	yes	yes	no	636500	0.64	0.61	541568	88184
56438_300801	合成ベンチ	56438	300801	10.660	data/56438_300801	4668fc586e17dccbf7888bdf8a823eb4430878bc6eefc421bde797303318d0d0	generated	unknown	undirected	unknown	unknown	unknown	tools/gen_graph.py 生成 (合成ベンチ)	valid	generator_consistent_seed_unavailable	yes	yes	no	3898734	3.90	3.72	2632164	451504
325557_3216152	合成ベンチ	325557	3216152	19.758	data/325557_3216152	a095b2e7564e6c620bd0f5437917e0b28f4fecab289adf77633e850aa07da584	generated	unknown	undirected	unknown	preserved(87442本)	preserved(866924有向ペア)	provenance_unverified (generator/seed 不明; self-loop/duplicate/未ソート行/1-based のため gen_graph.py とは構造的に非整合; result/provenance/GRAPH_325557_INTEGRITY_AUDIT.md)	malformed	unverified_external_origin	no	yes	yes	45348142	45.35	43.25	27031448	2604456
chain_200	合成(鎖状)	200	199	1.990	data/chain_200	8fe3b0e05de9eecb9999962374ce843264d040b985e85e7ddc7bfd987494db79	generated	unknown	undirected	unknown	unknown	unknown	tools/gen_graph.py 生成 (鎖状)	valid	generator_consistent_seed_unavailable	yes	yes	no	2129	0.00	0.00	2396	1600
random	合成(ランダム)	32212	101805	6.321	data/random	436e231b0d83fcb3b80f6de19aff974443d381c6619f75465212e1fdd6ebecb2	generated	unknown	undirected	unknown	unknown	unknown	tools/gen_graph.py 生成 (ランダム)	valid	generator_consistent_seed_unavailable	yes	yes	no	1359382	1.36	1.30	943292	257696
325557_3216152_corrected_v1	合成ベンチ(修復版)	325557	3216152	19.758	data/325557_3216152_corrected_v1	8373244f209a3ee489fe72a7b237a5639d142e3a10ac451a2c81b09194eeaa22	derived:data/325557_3216152	unknown	undirected	no	preserved(87442本)	preserved(866924有向ペア)	tools/repair_325557_graph.py (1-based→0-based の全体 relabelling + 対称性による欠落最終行7要素の再構成; dedup/self-loop除去なし)	valid	internally_reconstructed_no_original_seed	yes	no	no	45348105	45.35	43.25	27031448	2604456
